SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSgaur,0.99,0.6567157841085598,0.00238261,0.00216018,0.00209569,0.00205562,0.00199891,0.00230592,0.00216726,0.00192175,0.00222419,0.0021143
RSgaur,0.95,0.9317474643094577,0.00220173,0.00224217,0.00221766,0.00223308,0.00224697,0.00195551,0.00206832,0.00215485,0.00208723,0.00227066
RSgaur,0.8999999999999999,1.1339577977410074,0.00210288,0.00224961,0.00216919,0.00216825,0.002181,0.0021528,0.00229257,0.00200967,0.00213924,0.00215777
RSgaur,0.85,1.3176019391259195,0.00215022,0.00217092,0.00231456,0.00241793,0.00227325,0.00216447,0.00205941,0.00238257,0.00201712,0.00196608
RSgaur,0.7999999999999999,1.4835214830309036,0.00514883,0.00541622,0.00524151,0.0050583,0.00506917,0.00518789,0.00494278,0.00474534,0.00545484,0.00480966
RSgaur,0.75,1.6451081408215351,0.00518745,0.00551157,0.00565574,0.00518538,0.00562409,0.00578994,0.00522794,0.00496301,0.00480685,0.00570922
RSgaur,0.7,1.827253873549735,0.00547532,0.00584652,0.00467955,0.00510075,0.0053458,0.00496046,0.00570738,0.00501746,0.00573854,0.00573459
RSgaur,0.6499999999999999,2.011731407552067,0.00486063,0.00516077,0.0052624,0.00568507,0.00528816,0.00510442,0.00504781,0.00545726,0.00555197,0.00477364
RSgaur,0.5999999999999999,2.204583492892326,0.00521033,0.00570948,0.00564066,0.00591285,0.00514244,0.00526317,0.00560308,0.00513502,0.00521017,0.00448619
RSgaur,0.5499999999999999,2.4216119727486456,0.00587301,0.00539498,0.0052046,0.00590647,0.00568921,0.00523789,0.00536531,0.00523526,0.00492508,0.00504347
RSgaur,0.49999999999999994,2.667953739216298,0.00513961,0.00543762,0.00525736,0.00511113,0.00560436,0.00486174,0.00486183,0.00519713,0.00557276,0.00533221
RSgaur,0.45,2.92693278111396,0.00479639,0.0047434,0.00472449,0.00455638,0.0043763,0.00442392,0.00468552,0.00471233,0.0046797,0.00467862
RSgaur,0.3999999999999999,3.273628775614262,0.00421955,0.00473988,0.00491116,0.00505833,0.00497967,0.00474226,0.00478696,0.00416649,0.00478122,0.00396139
RSgaur,0.34999999999999987,3.62168458023408,0.00469776,0.00503854,0.00419331,0.00456377,0.00457242,0.00522496,0.00529974,0.00507544,0.0041422,0.00493195
RSgaur,0.29999999999999993,4.111521453993288,0.00431084,0.00474419,0.00441806,0.00450049,0.00503236,0.00501955,0.0048169,0.00480336,0.00459026,0.00418346
RSgaur,0.2499999999999999,4.633370139683742,0.00455269,0.00434068,0.00428781,0.00424405,0.00401027,0.00413803,0.00401376,0.00407344,0.00459528,0.004122
RSgaur,0.19999999999999996,5.458770005138267,0.00421144,0.00416803,0.00427163,0.00405093,0.00401357,0.00393769,0.00389639,0.00423178,0.00438132,0.00431201
RSgaur,0.1499999999999999,6.573531170894225,0.00422497,0.00363296,0.00373242,0.00381021,0.00398102,0.00388279,0.00390041,0.00370777,0.00387479,0.00380023
RSgaur,0.09999999999999988,8.502162387712087,0.00329566,0.00330872,0.00334761,0.00323631,0.00338485,0.00335737,0.00343429,0.00303175,0.00321403,0.00356323
RSgaur,0.05,12.525670002542505,0.00288588,0.00298866,0.0027572,0.00285968,0.0028697,0.00281247,0.00284813,0.00280094,0.00299334,0.00298732
