SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSmaqu4,0.99,0.6619591068976213,0.00190622,0.00203171,0.00183616,0.0018536,0.00225232,0.00217364,0.00213137,0.00223215,0.00201835,0.00201698
RSmaqu4,0.95,0.9326508895636412,0.00231939,0.00213469,0.00174486,0.00214502,0.00182091,0.00219993,0.00195111,0.00181524,0.00190439,0.00203307
RSmaqu4,0.8999999999999999,1.1424247466953998,0.00208687,0.00203344,0.001986,0.00200102,0.00226758,0.00228203,0.00189712,0.00169782,0.00187309,0.00198172
RSmaqu4,0.85,1.3207121420618555,0.00200175,0.00193493,0.0018027,0.00173258,0.00199549,0.00197508,0.00190881,0.00203981,0.00202952,0.00190806
RSmaqu4,0.7999999999999999,1.486133943352013,0.00534852,0.00499115,0.004781,0.00530514,0.00587232,0.00557279,0.00548943,0.00526638,0.00537004,0.00530065
RSmaqu4,0.75,1.6641773140558396,0.00550116,0.00510554,0.00555752,0.00611703,0.00544332,0.00517618,0.00512702,0.00562471,0.00547607,0.00553061
RSmaqu4,0.7,1.8249511772995977,0.00562465,0.00541053,0.00521206,0.00521344,0.00536817,0.00650408,0.00524562,0.00555941,0.00602798,0.00516224
RSmaqu4,0.6499999999999999,2.0195515660302488,0.00566212,0.00571747,0.00526993,0.00470779,0.00531232,0.00551706,0.00548251,0.00573151,0.00546553,0.00555161
RSmaqu4,0.5999999999999999,2.21249062725797,0.00529791,0.00522093,0.00522062,0.00544132,0.00546341,0.00457026,0.00590234,0.00547682,0.00509616,0.00516497
RSmaqu4,0.5499999999999999,2.4361173002103667,0.00498017,0.00546447,0.00567156,0.00493127,0.00536908,0.00507967,0.00533247,0.0054023,0.00561036,0.00573509
RSmaqu4,0.49999999999999994,2.6762745606347935,0.00532536,0.00522803,0.00503603,0.00610644,0.00522154,0.00588703,0.00542261,0.00552236,0.00594145,0.00584388
RSmaqu4,0.45,2.943496338580384,0.00609736,0.00652681,0.00632449,0.00641259,0.00600214,0.00610365,0.00619989,0.00633408,0.00620763,0.00645865
RSmaqu4,0.3999999999999999,3.2674605967287165,0.0069912,0.00638055,0.0060593,0.0062412,0.00586867,0.00609882,0.00651471,0.00601452,0.00638476,0.00617909
RSmaqu4,0.34999999999999987,3.6771600697514977,0.00683654,0.00634079,0.00615054,0.00602474,0.00661311,0.00583998,0.00681077,0.00644301,0.00622778,0.00590851
RSmaqu4,0.29999999999999993,4.125295043359327,0.00564342,0.00617653,0.00611455,0.00624317,0.00626288,0.00609782,0.00631588,0.00619719,0.00638482,0.0063351
RSmaqu4,0.2499999999999999,4.694154706865886,0.00620506,0.00640033,0.00670821,0.00667904,0.00642532,0.0062187,0.00625781,0.00647603,0.0067972,0.00654992
RSmaqu4,0.19999999999999996,5.4780863038236,0.00649834,0.00643211,0.00656158,0.0063739,0.00631362,0.00667181,0.00639931,0.00661228,0.00595354,0.00650076
RSmaqu4,0.1499999999999999,6.622598269242851,0.00598093,0.00646611,0.00618567,0.0063621,0.00664956,0.00652724,0.00630856,0.00649458,0.00639439,0.00609313
RSmaqu4,0.09999999999999988,8.485000460861817,0.00641596,0.00603593,0.0063385,0.00613491,0.00594509,0.00645936,0.00633274,0.00588533,0.00600509,0.00582189
RSmaqu4,0.05,12.659265229824715,0.00567329,0.00551233,0.00551385,0.00555943,0.00605323,0.00518281,0.00535039,0.00595888,0.00543864,0.0055727
