SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSpet1,0.99,0.8925178341841112,0.00296644,0.00282802,0.00276373,0.00275037,0.00343371,0.00324604,0.00310668,0.00312855,0.00337298,0.00369071
RSpet1,0.95,1.268276635887377,0.0033435,0.00323887,0.00305923,0.00313493,0.00310939,0.00358099,0.00306854,0.00349863,0.00313743,0.00307349
RSpet1,0.8999999999999999,1.5465104785705497,0.00822152,0.00911048,0.00862813,0.00961736,0.00838268,0.00777994,0.00986968,0.00920462,0.0086255600000000009,0.00840424
RSpet1,0.85,1.795741886739774,0.0087454,0.00934089,0.00824294,0.0092744,0.00985802,0.00897175,0.00805065,0.00851086,0.00922101,0.00833054
RSpet1,0.7999999999999999,2.0277400725620636,0.00891514,0.0091239,0.008197,0.00750503,0.00760551,0.0093228,0.00925941,0.00929171,0.00928138,0.00907228
RSpet1,0.75,2.2614559098116955,0.0097807,0.00877777,0.00938581,0.00809283,0.00966214,0.00966214,0.00936151,0.00813153,0.00829355,0.0093727
RSpet1,0.7,2.4855519951329743,0.00944603,0.0096571,0.00875142,0.00875142,0.00898995,0.00946016,0.00866864,0.00931011,0.00803175,0.00954466
RSpet1,0.6499999999999999,2.726941906389239,0.0090711,0.00914287,0.00981655,0.00981655,0.00762331,0.00917532,0.00873891,0.00835979,0.00928009,0.00917001
RSpet1,0.5999999999999999,3.021823533381961,0.00757498,0.00694548,0.00725474,0.00601422,0.00723383,0.00754805,0.00520583,0.00754,0.00667881,0.00764399
RSpet1,0.5499999999999999,3.312949534669649,0.0067192,0.00563547,0.00654914,0.00715485,0.00794903,0.00678361,0.00762341,0.0080256,0.00702294,0.00807536
RSpet1,0.49999999999999994,3.6119934879064126,0.00681318,0.00785884,0.00754383,0.00686703,0.00735201,0.00735201,0.00759606,0.00532083,0.00769682,0.00571116
RSpet1,0.45,4.0297223836472895,0.00679214,0.00779909,0.00587402,0.00781714,0.00694063,0.00858026,0.00705807,0.00798453,0.0075035,0.00744531
RSpet1,0.3999999999999999,4.44595694125933,0.00541782,0.00513092,0.00433466,0.00579736,0.00450509,0.00523812,0.00453627,0.00475571,0.00494304,0.00518773
RSpet1,0.34999999999999987,4.976291785249204,0.00464286,0.0054098,0.00544158,0.00585761,0.0050254,0.00482735,0.0047152,0.00522452,0.00499855,0.00499855
RSpet1,0.29999999999999993,5.559814626932967,0.00633553,0.00490724,0.00510761,0.00468067,0.00488893,0.00476924,0.0052238,0.00449614,0.00472042,0.00551308
RSpet1,0.2499999999999999,6.376467848454828,0.00536779,0.00357652,0.00444069,0.0045172500000000004,0.003882,0.00414841,0.00398265,0.0045991,0.00402984,0.00400575
RSpet1,0.19999999999999996,7.481387740286595,0.00354315,0.00347162,0.00367321,0.00370782,0.00339324,0.00331178,0.00336082,0.00370571,0.00375217,0.00362947
RSpet1,0.1499999999999999,8.956289396723838,0.00331081,0.00336808,0.00295924,0.00325459,0.00367026,0.00335541,0.00336826,0.00344183,0.00333265,0.00336913
RSpet1,0.09999999999999988,11.530198508044204,0.0030884,0.00297652,0.00310125,0.00283384,0.00296094,0.00282015,0.00289215,0.00287288,0.00293436,0.00278101
RSpet1,0.05,17.299326092701317,0.00262368,0.00256188,0.00255088,0.00238376,0.00250535,0.00256449,0.00262604,0.00262604,0.00264162,0.00261842
