SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSrioz1,0.99,0.7458145011149,0.00217865,0.00222095,0.00218123,0.0021864,0.0018392,0.00208107,0.00200673,0.00207414,0.00200214,0.00214029
RSrioz1,0.95,1.0401666795332136,0.00221729,0.00198284,0.00191001,0.00241052,0.00217309,0.00205792,0.00279108,0.00250873,0.00210418,0.00212669
RSrioz1,0.8999999999999999,1.2814499137691069,0.00217934,0.00234834,0.00225123,0.00207457,0.00218381,0.00231242,0.00246175,0.00210851,0.00214541,0.00226901
RSrioz1,0.85,1.4751975822666186,0.00554139,0.00635906,0.00627335,0.00551853,0.00652448,0.00585218,0.00615509,0.00628876,0.00610725,0.00635756
RSrioz1,0.7999999999999999,1.66983516040629,0.00602673,0.00681226,0.0067244,0.00629706,0.00681542,0.00676985,0.0062909,0.00597563,0.00644882,0.00678836
RSrioz1,0.75,1.860615269851487,0.00610436,0.0062325,0.00636033,0.00621183,0.00709551,0.0067949,0.00693155,0.00669342,0.00670744,0.00722654
RSrioz1,0.7,2.0702547814856667,0.00623111,0.00553399,0.00696483,0.00635722,0.00691643,0.00589136,0.0060948,0.00656715,0.00617014,0.00600127
RSrioz1,0.6499999999999999,2.2714794392022237,0.00631348,0.00634268,0.00656986,0.00668316,0.00682616,0.00577923,0.005537,0.00613309,0.00617166,0.00607801
RSrioz1,0.5999999999999999,2.4964090654142654,0.00650164,0.00677353,0.00670677,0.00582432,0.00627593,0.0060083,0.00667965,0.00636932,0.00657296,0.00622468
RSrioz1,0.5499999999999999,2.7591889381109085,0.00618554,0.00709436,0.00666107,0.00632694,0.00579387,0.00552132,0.00533028,0.00630098,0.00679773,0.00576796
RSrioz1,0.49999999999999994,3.022140575101791,0.00606566,0.00670855,0.0059946,0.00543682,0.00575575,0.00569361,0.00670048,0.00571772,0.00519025,0.00553036
RSrioz1,0.45,3.3186168595396333,0.00585357,0.00604238,0.00557309,0.00598365,0.00643397,0.0057667,0.00561694,0.00609303,0.00604874,0.00596854
RSrioz1,0.3999999999999999,3.67240986493343,0.00558579,0.00602418,0.00567106,0.00605124,0.00514176,0.00599632,0.00633012,0.00569754,0.00646852,0.00583168
RSrioz1,0.34999999999999987,4.095718097623943,0.00583927,0.00634241,0.00631072,0.005912,0.00610624,0.00597843,0.00589117,0.00612854,0.00571449,0.00607616
RSrioz1,0.29999999999999993,4.615190176879524,0.00522626,0.0051729,0.00501472,0.00559927,0.00536866,0.00469644,0.00511382,0.00510946,0.0048275,0.00511828
RSrioz1,0.2499999999999999,5.255440104861293,0.00523464,0.00542836,0.00488471,0.00525048,0.00558821,0.00602278,0.00535474,0.00487583,0.00503112,0.00531371
RSrioz1,0.19999999999999996,6.172444756114906,0.00495134,0.00455306,0.00414588,0.00442527,0.00499654,0.00481022,0.004491,0.00454848,0.00471161,0.00473653
RSrioz1,0.1499999999999999,7.43958221848164,0.00453722,0.00421329,0.00401389,0.0041865,0.00418078,0.00410488,0.00470758,0.00404239,0.00436212,0.00407565
RSrioz1,0.09999999999999988,9.528973845470402,0.00399647,0.00403303,0.00377172,0.00419881,0.00385583,0.00416525,0.00414346,0.00389446,0.00373899,0.00368111
RSrioz1,0.05,14.24334874884812,0.00277402,0.00280646,0.00288912,0.00301462,0.00297306,0.00300846,0.00303038,0.00285955,0.00299969,0.0028773
