SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSsetape,0.99,0.6157092883432234,6.13694e-4,5.62271e-4,5.53183e-4,6.30466e-4,5.44353e-4,5.85202e-4,4.92349e-4,6.39937e-4,6.10485e-4,5.62673e-4
RSsetape,0.95,0.8787044211261213,5.46345e-4,6.21898e-4,5.11221e-4,5.15006e-4,5.4738e-4,4.91332e-4,5.58369e-4,5.16937e-4,5.68844e-4,5.56685e-4
RSsetape,0.8999999999999999,1.0672313515863123,5.79733e-4,6.77173e-4,5.64728e-4,4.89943e-4,6.44209e-4,5.62288e-4,5.27578e-4,6.4053e-4,5.68951e-4,6.86348e-4
RSsetape,0.85,1.237030246963032,6.49534e-4,5.62921e-4,7.0245e-4,5.54226e-4,6.27357e-4,6.81106e-4,5.03669e-4,5.60135e-4,4.60893e-4,5.77382e-4
RSsetape,0.7999999999999999,1.3999189659217666,5.64e-4,5.47871e-4,6.46382e-4,6.33931e-4,5.41124e-4,6.01868e-4,5.91263e-4,5.86555e-4,5.02146e-4,4.65875e-4
RSsetape,0.75,1.5538821935846363,0.00287207,0.00254685,0.00267529,0.00294049,0.00276883,0.00309692,0.00273515,0.00270466,0.00253969,0.00251856
RSsetape,0.7,1.715022851002571,0.00263709,0.00268688,0.00308633,0.00296204,0.00245953,0.00291789,0.0029403,0.00326532,0.00281603,0.0028223
RSsetape,0.6499999999999999,1.8885355507875168,0.00258879,0.00266681,0.00278552,0.0024918,0.0027554,0.00296562,0.0027587,0.00300884,0.0028294,0.00294062
RSsetape,0.5999999999999999,2.0774653031148387,0.00272166,0.0030514,0.00244719,0.00288948,0.00328916,0.00242662,0.00281023,0.00268863,0.00256378,0.00296791
RSsetape,0.5499999999999999,2.284376783086241,0.00299869,0.00293256,0.00273083,0.00255912,0.00273418,0.00277123,0.00250912,0.00274743,0.0027723,0.00260944
RSsetape,0.49999999999999994,2.515942175977925,0.00254662,0.00265419,0.00285775,0.00259096,0.0025821,0.00262841,0.00294144,0.00282658,0.00280838,0.00261635
RSsetape,0.45,2.773109593809828,0.00277045,0.00308081,0.00258133,0.00272811,0.00267547,0.00293192,0.00284609,0.00288571,0.00285211,0.00276482
RSsetape,0.3999999999999999,3.06860116890012,0.00389556,0.00352651,0.00382746,0.00366179,0.00415304,0.00390069,0.0039352,0.00384453,0.00361725,0.00385039
RSsetape,0.34999999999999987,3.4454240203327458,0.00390433,0.0036523,0.00385916,0.00368213,0.00401071,0.00369927,0.00409485,0.00355501,0.00355263,0.00366996
RSsetape,0.29999999999999993,3.862825983071298,0.00399776,0.003978,0.00379612,0.00379112,0.00428376,0.00371845,0.00377964,0.00362246,0.00372902,0.00367733
RSsetape,0.2499999999999999,4.406068019952342,0.00400106,0.00450014,0.00431925,0.00399906,0.00410972,0.00450701,0.00419454,0.00382839,0.00414478,0.00418545
RSsetape,0.19999999999999996,5.117267402089397,0.0038804,0.00384379,0.00426701,0.00405481,0.00387357,0.00410891,0.00398513,0.00383845,0.00406782,0.00404286
RSsetape,0.1499999999999999,6.169600151383148,0.00385082,0.00421242,0.0041931,0.0037927,0.00422638,0.00376063,0.00372593,0.00369485,0.00379118,0.00405718
RSsetape,0.09999999999999988,8.071213750186027,0.00372169,0.00362614,0.00363626,0.00400869,0.00390358,0.00383672,0.00369734,0.00353462,0.00385961,0.00437171
RSsetape,0.05,11.95392514977693,0.00324052,0.0026936,0.00318488,0.00278512,0.00278774,0.00276079,0.00303007,0.00279225,0.00274504,0.00272036
