SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSsini,0.99,0.7988572286559941,0.00237149,0.00227647,0.00224303,0.00228824,0.00246469,0.00241366,0.00246316,0.00227093,0.00219014,0.00219169
RSsini,0.95,1.142229660594546,0.00249862,0.00231663,0.00228194,0.00232035,0.0021358,0.00222033,0.00236003,0.00218736,0.00198572,0.00240834
RSsini,0.8999999999999999,1.3831250698301991,0.00232203,0.00277835,0.0026901,0.00232804,0.00223524,0.0024424,0.00215,0.00236043,0.00222704,0.00224412
RSsini,0.85,1.6096993716477117,0.00762716,0.00738999,0.00695024,0.00771386,0.00724025,0.00658036,0.00746353,0.00687618,0.00769217,0.00667393
RSsini,0.7999999999999999,1.8221353287985331,0.00828063,0.00760096,0.00699851,0.00727632,0.00709398,0.00694917,0.00782794,0.00728113,0.00686462,0.00707974
RSsini,0.75,2.0341164592420964,0.00730279,0.00689686,0.00693329,0.00768817,0.00751338,0.00754701,0.00676065,0.00730535,0.00690969,0.00661035
RSsini,0.7,2.243703163498267,0.00724368,0.00649933,0.00710932,0.00704629,0.00778307,0.00709496,0.00681542,0.00783232,0.00733574,0.00690848
RSsini,0.6499999999999999,2.4463978219206237,0.00741269,0.00694476,0.00749805,0.0071517,0.00728577,0.00814985,0.00729777,0.0070972,0.00764923,0.00779144
RSsini,0.5999999999999999,2.707315300766276,0.00687771,0.0078221,0.00699986,0.00696615,0.00655769,0.00627507,0.00760301,0.00720147,0.00752548,0.00685294
RSsini,0.5499999999999999,2.989151736410616,0.00835091,0.00904039,0.0087487,0.00840339,0.00836934,0.0084922,0.00911272,0.0083945,0.00831324,0.00899927
RSsini,0.49999999999999994,3.2658921240302767,0.00856996,0.00933926,0.00935015,0.00865228,0.00793964,0.00823298,0.00863467,0.00749535,0.00839196,0.0085933
RSsini,0.45,3.623000047029894,0.00917789,0.00887763,0.00829177,0.0080808,0.00855714,0.00767407,0.00808005,0.00916359,0.00770189,0.00863977
RSsini,0.3999999999999999,3.9731594917706015,0.00922296,0.0086572,0.00845728,0.00845265,0.00906683,0.00854936,0.00857109,0.0083136,0.00843993,0.0088572
RSsini,0.34999999999999987,4.45470450203916,0.00842812,0.00882621,0.00831492,0.00913574,0.0097222,0.00864031,0.00943971,0.00835881,0.00875684,0.00888331
RSsini,0.29999999999999993,5.02720000792544,0.00854468,0.00867963,0.00858974,0.00818709,0.00933708,0.0094428,0.00908948,0.00906228,0.00889744,0.00871038
RSsini,0.2499999999999999,5.727152580750832,0.00849957,0.00818952,0.00825943,0.00738675,0.00979728,0.00862761,0.00911023,0.00925449,0.00825742,0.00901393
RSsini,0.19999999999999996,6.6798989569076435,0.00932849,0.00879381,0.00841811,0.00879582,0.00842456,0.00800397,0.00838446,0.00883957,0.00872313,0.00943293
RSsini,0.1499999999999999,8.124116574211945,0.00797027,0.00723744,0.00835338,0.00776364,0.00815363,0.00851342,0.00811595,0.00872035,0.00768537,0.00740135
RSsini,0.09999999999999988,10.340896939435067,0.00746055,0.00639507,0.00701125,0.0066372,0.00662752,0.00648541,0.00698331,0.00623284,0.00587187,0.00664706
RSsini,0.05,15.33234230584757,0.00438761,0.00474224,0.00449061,0.00529213,0.0048565,0.00450558,0.00465117,0.00481526,0.00474505,0.00451405
