SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSsmar2,0.99,0.6775740249567825,0.00133414,0.00108275,0.00126854,0.00136978,0.00126183,0.00112501,0.00117615,0.00122328,0.00126463,0.00122868
RSsmar2,0.95,0.9666292865434368,0.00130477,9.86864e-4,0.00102909,0.00116021,0.00104335,0.00138021,0.00123542,0.00128427,0.00126512,0.00109167
RSsmar2,0.8999999999999999,1.1827843204488142,0.00126059,0.00117843,0.00107788,0.00110787,0.00114943,0.00121774,0.00143306,0.00128762,0.00122046,0.00106209
RSsmar2,0.85,1.3711691528858472,0.00105805,0.00115012,0.00119663,0.00124283,0.00124889,0.00126563,0.00113251,0.00114436,0.0012422,0.00132539
RSsmar2,0.7999999999999999,1.5425810077782087,0.00294513,0.00319763,0.00300439,0.00337831,0.00277506,0.00315388,0.00269603,0.00274439,0.00292384,0.00305311
RSsmar2,0.75,1.7075521879348972,0.00306885,0.00311973,0.00303335,0.0028586,0.00315587,0.00307721,0.00342465,0.00346351,0.0028557,0.00314146
RSsmar2,0.7,1.8994989716006545,0.00309816,0.00306751,0.00299331,0.00343569,0.00317171,0.00285377,0.00286733,0.00258667,0.00329027,0.0032331
RSsmar2,0.6499999999999999,2.095518373451181,0.00306765,0.00266468,0.00332701,0.00307196,0.00303643,0.00327164,0.00315736,0.00277111,0.00316717,0.00308332
RSsmar2,0.5999999999999999,2.2930106198535,0.00300359,0.00314971,0.00297692,0.00269238,0.0032948,0.00319355,0.00346301,0.00276244,0.00261766,0.00329838
RSsmar2,0.5499999999999999,2.5097088692396596,0.0029733,0.00282183,0.00276799,0.00281664,0.00300785,0.00280733,0.00285574,0.00264455,0.00318715,0.00310343
RSsmar2,0.49999999999999994,2.768517736807105,0.00317565,0.00323598,0.00297111,0.00261551,0.00265471,0.00300062,0.00279439,0.00307223,0.00273309,0.00318687
RSsmar2,0.45,3.0598671416115875,0.00377478,0.00358159,0.00343761,0.00355605,0.00367009,0.00343776,0.00357118,0.0032995,0.00356429,0.00336501
RSsmar2,0.3999999999999999,3.381617997648396,0.00362807,0.00370042,0.00320215,0.00351573,0.00340685,0.00344689,0.00309387,0.00329178,0.0033664,0.00337461
RSsmar2,0.34999999999999987,3.775128580624613,0.00345766,0.00336606,0.00339173,0.00341214,0.00354755,0.00325154,0.00377026,0.00336453,0.00359662,0.00346061
RSsmar2,0.29999999999999993,4.234784421323313,0.00352229,0.00325192,0.00334002,0.00340371,0.00336823,0.00349871,0.00345372,0.00381142,0.00354645,0.00360798
RSsmar2,0.2499999999999999,4.833578677952402,0.00348308,0.00334568,0.00379798,0.0035876,0.003694,0.00335347,0.00355008,0.00330389,0.00357382,0.0033778
RSsmar2,0.19999999999999996,5.680716188908635,0.00373119,0.00358676,0.00343214,0.00342412,0.00385799,0.00370883,0.00362997,0.00366011,0.00362494,0.00354106
RSsmar2,0.1499999999999999,6.900186921869925,0.00351807,0.00368241,0.0036381,0.003566,0.003526,0.00347443,0.00365963,0.00359695,0.00350918,0.00400717
RSsmar2,0.09999999999999988,8.823110985352553,0.00352406,0.00331961,0.00343623,0.00327781,0.003601,0.00349616,0.00345136,0.0033833,0.00342643,0.00343259
RSsmar2,0.05,13.175174928799784,0.00313178,0.00300583,0.00301194,0.00294883,0.0029983,0.00303844,0.00297085,0.00303907,0.00300103,0.00303921
