SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSvsol,0.99,0.5956807207609887,7.28191e-4,9.21074e-4,8.70803e-4,9.09307e-4,8.64533e-4,9.68974e-4,8.79741e-4,9.08195e-4,8.58842e-4,9.71888e-4
RSvsol,0.95,0.8459973288088409,8.02528e-4,8.11807e-4,9.45774e-4,8.51867e-4,9.19127e-4,8.39957e-4,8.70404e-4,8.06168e-4,8.55361e-4,8.04609e-4
RSvsol,0.8999999999999999,1.0339428660881875,8.63765e-4,9.45069e-4,8.77092e-4,8.52261e-4,8.42905e-4,8.63358e-4,7.8413e-4,9.0412e-4,9.24282e-4,8.10886e-4
RSvsol,0.85,1.1938053767831365,8.30503e-4,9.58832e-4,8.71849e-4,9.7492e-4,9.1529e-4,8.25084e-4,8.92939e-4,9.50785e-4,7.82833e-4,8.322e-4
RSvsol,0.7999999999999999,1.3498627385195177,8.29266e-4,9.64882e-4,9.21897e-4,8.52525e-4,7.45145e-4,8.84685e-4,9.15757e-4,0.00092233599999999995,7.84215e-4,0.00100562
RSvsol,0.75,1.50827258781241,0.00180887,0.00210714,0.00172967,0.00191079,0.00203019,0.00222747,0.00166938,0.00187858,0.00211956,0.00172257
RSvsol,0.7,1.666891642493642,0.00201291,0.00213538,0.00186487,0.00180312,0.00219506,0.00207689,0.00210699,0.0019779,0.00175091,0.00184134
RSvsol,0.6499999999999999,1.8368101315527436,0.00184079,0.0017893,0.0021623,0.00174403,0.00199152,0.00172127,0.0020711,0.00189723,0.00168632,0.00182427
RSvsol,0.5999999999999999,2.0163009227158697,0.00203983,0.00185265,0.00201291,0.00177815,0.001794,0.00209886,0.00173778,0.00197603,0.00200364,0.00200258
RSvsol,0.5499999999999999,2.213136438559521,0.0021116,0.00196214,0.00194471,0.00194452,0.0018355,0.00164719,0.00214817,0.00199912,0.00174317,0.00188671
RSvsol,0.49999999999999994,2.4223209985842775,0.001877,0.001952,0.00173213,0.0017931,0.00194209,0.00185611,0.00179742,0.00171956,0.00164012,0.00207755
RSvsol,0.45,2.677107585237103,0.0019437,0.00194757,0.0018854,0.00186473,0.0018103,0.00193621,0.00189182,0.00182628,0.0017259,0.00170837
RSvsol,0.3999999999999999,2.942858924217658,0.00210075,0.00207298,0.00220786,0.00207858,0.00229765,0.00215507,0.0021607,0.00219811,0.00221332,0.00223482
RSvsol,0.34999999999999987,3.320606059866345,0.00220869,0.00195736,0.00210792,0.00223474,0.00226624,0.00202517,0.00230304,0.00227819,0.0021803,0.0021024
RSvsol,0.29999999999999993,3.736098914014178,0.00214554,0.00199318,0.0023036,0.00204393,0.00248858,0.00207596,0.00213595,0.00209455,0.0024209,0.00209669
RSvsol,0.2499999999999999,4.265684533617704,0.00236011,0.00224731,0.00230965,0.00231148,0.00230046,0.00233355,0.00226152,0.00222698,0.0023827,0.00234542
RSvsol,0.19999999999999996,4.964384718055642,0.0023829,0.00213715,0.00226459,0.00227568,0.00230256,0.00215475,0.00221389,0.00219302,0.00233408,0.00214099
RSvsol,0.1499999999999999,6.0024736856443095,0.0022156,0.00212194,0.00202828,0.00216346,0.00235657,0.00215856,0.00219385,0.00229438,0.00231448,0.00221458
RSvsol,0.09999999999999988,7.745169299047696,0.00223422,0.0021497,0.00217132,0.00221785,0.00212645,0.00216434,0.00203824,0.00209931,0.00226565,0.00218308
RSvsol,0.05,11.424963349262685,0.0020741,0.00192133,0.00200721,0.00198718,0.00198245,0.00196963,0.0019314,0.001968,0.00201624,0.00199253
