SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCcric1,0.99,0.6838456499915958,0.00633464,0.00617022,0.00628663,0.00626598,0.00616077,0.00582653,0.00577671,0.00605408,0.00622261,0.00598499
SCcric1,0.95,0.965626825044366,0.00580327,0.00577989,0.00600332,0.00619293,0.00581785,0.00572902,0.00593614,0.00600735,0.00611676,0.00579552
SCcric1,0.8999999999999999,1.1899566171910765,0.00624276,0.00586377,0.00575924,0.00574216,0.00619097,0.00571007,0.0057393,0.00613591,0.00595884,0.00602777
SCcric1,0.85,1.3718355757062053,0.00590387,0.00572158,0.00607361,0.00595631,0.00592718,0.0060634800000000004,0.00591435,0.00595627,0.00630602,0.00602941
SCcric1,0.7999999999999999,1.5504886999508998,0.0156748,0.0145221,0.015872,0.0148131,0.0155887,0.0155517,0.0150397,0.0158748,0.0152307,0.0146102
SCcric1,0.75,1.724586866960066,0.0156283,0.0161584,0.0161108,0.0157816,0.0153501,0.0150819,0.0150999,0.0153807,0.0162831,0.0160029
SCcric1,0.7,1.921618759473948,0.0157761,0.0154978,0.0141915,0.0150836,0.015281,0.0152627,0.0165053,0.0160879,0.0156659,0.0158405
SCcric1,0.6499999999999999,2.1017298332734495,0.0156485,0.0157219,0.0158882,0.0151265,0.0150457,0.0148959,0.0151504,0.0134981,0.015953,0.0159288
SCcric1,0.5999999999999999,2.302437493696152,0.0146898,0.0162381,0.0153084,0.0153435,0.015361,0.0151893,0.0151554,0.0156119,0.0144448,0.0154591
SCcric1,0.5499999999999999,2.510175552292387,0.0154594,0.0159799,0.0157423,0.0161907,0.0151898,0.0153323,0.015135,0.0150756,0.0156889,0.0144536
SCcric1,0.49999999999999994,2.7884384565664395,0.0152972,0.0149242,0.0152236,0.0151714,0.0155416,0.0147438,0.0152981,0.0149907,0.0145988,0.0155834
SCcric1,0.45,3.0707914185454412,0.0183716,0.0187961,0.0187895,0.0195767,0.0187931,0.0193854,0.0194607,0.0187243,0.0187933,0.0188176
SCcric1,0.3999999999999999,3.405799085125973,0.0196736,0.0200426,0.0192891,0.0196838,0.0188943,0.0201812,0.0196119,0.0190392,0.0186253,0.0188404
SCcric1,0.34999999999999987,3.795153749735964,0.0191343,0.0191722,0.0191174,0.0193217,0.019403,0.0191222,0.0197495,0.0182382,0.0197318,0.0193502
SCcric1,0.29999999999999993,4.27816908061836,0.0201212,0.0205666,0.0213032,0.0205551,0.0203458,0.019849,0.0209661,0.0205303,0.0207391,0.0204344
SCcric1,0.2499999999999999,4.88605126434962,0.0201928,0.0206909,0.0212107,0.0211063,0.0200668,0.0212137,0.0209884,0.0212197,0.0198648,0.0206775
SCcric1,0.19999999999999996,5.659463064329003,0.0223291,0.0215266,0.0218219,0.0222319,0.0208556,0.022375,0.0229637,0.0222632,0.021897,0.022091
SCcric1,0.1499999999999999,6.863757468901081,0.0227065,0.0220111,0.0224904,0.0219703,0.0229462,0.0220621,0.0228019,0.0225604,0.0226895,0.0210434
SCcric1,0.09999999999999988,8.892913474447745,0.0226457,0.0233952,0.0229891,0.0227346,0.0226985,0.0229887,0.0229648,0.0239319,0.0226494,0.0234239
SCcric1,0.05,13.267952951504252,0.0225263,0.0220486,0.0237533,0.0226681,0.0235564,0.0220603,0.022296,0.0233007,0.0226646,0.0214754
