SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCilho,0.99,0.726114477792895,0.00564652,0.00628399,0.00582595,0.00523222,0.00572346,0.0054027499999999996,0.00544038,0.00541912,0.00560247,0.00543061
SCilho,0.95,1.0248187152588746,0.00644541,0.00579582,0.00587983,0.00537926,0.00546778,0.0056654,0.00574955,0.0054364,0.00553798,0.00625254
SCilho,0.8999999999999999,1.257989144033552,0.00582745,0.00590636,0.00619559,0.00617511,0.00616581,0.00530788,0.00546831,0.00612375,0.00542837,0.00595909
SCilho,0.85,1.459350058728701,0.0149914,0.01563,0.0165917,0.0145964,0.0151352,0.017119,0.0159013,0.0158366,0.0147244,0.0155713
SCilho,0.7999999999999999,1.64469324357142,0.0156462,0.0160027,0.0167008,0.0157022,0.0142346,0.0156186,0.0151748,0.015158,0.0153175,0.0152643
SCilho,0.75,1.8261046905939624,0.0155786,0.0150045,0.0162587,0.0166433,0.0158242,0.017348,0.0158582,0.0146809,0.015773,0.0153613
SCilho,0.7,2.0217543864666685,0.0156395,0.0151942,0.0150882,0.0168789,0.0154394,0.0160045,0.0166025,0.0155131,0.0169853,0.0149513
SCilho,0.6499999999999999,2.232033425251616,0.0163834,0.0147398,0.0147739,0.0144654,0.0172484,0.0159772,0.0159914,0.0165616,0.0152688,0.015817
SCilho,0.5999999999999999,2.4484408283434647,0.0156211,0.0145415,0.0162699,0.0146122,0.0152994,0.0151397,0.0155525,0.016065,0.0173795,0.0175218
SCilho,0.5499999999999999,2.6904174628074724,0.014703,0.0164554,0.0162294,0.0161527,0.015637,0.0156967,0.0153726,0.0165474,0.0150591,0.0164034
SCilho,0.49999999999999994,2.939657312522075,0.0142036,0.0140024,0.0114526,0.0138974,0.0123094,0.0162267,0.0132618,0.0137777,0.0143805,0.0139068
SCilho,0.45,3.2462787300442204,0.0128499,0.0130254,0.0138888,0.0143864,0.0123486,0.0133531,0.0136278,0.0147784,0.0138696,0.0140628
SCilho,0.3999999999999999,3.605634854968663,0.0141036,0.0143398,0.0131692,0.0130387,0.0149023,0.0132055,0.0131991,0.0125373,0.0139229,0.0128052
SCilho,0.34999999999999987,4.027520235473779,0.0117829,0.013257,0.0141474,0.0140753,0.0131783,0.0143555,0.0137835,0.0133357,0.0119683,0.0143145
SCilho,0.29999999999999993,4.52145876036482,0.0106057,0.0104131,0.0100352,0.0110082,0.00986488,0.0102607,0.011173,0.0110165,0.0102446,0.0103981
SCilho,0.2499999999999999,5.180860323131789,0.0103791,0.0108442,0.0116658,0.0102608,0.0117432,0.0124773,0.0102533,0.0105327,0.00949119,0.0105697
SCilho,0.19999999999999996,6.037487713364506,0.00742431,0.00914405,0.00740531,0.0073852,0.0075347,0.00712809,0.00804188,0.00717033,0.00855979,0.0070205
SCilho,0.1499999999999999,7.256893764719909,0.00570381,0.00668402,0.00583079,0.00641325,0.0068411,0.00627155,0.00613496,0.00623166,0.00682361,0.00643873
SCilho,0.09999999999999988,9.384321084516644,0.00575333,0.00494563,0.00529546,0.00501986,0.00612287,0.00540788,0.00518651,0.00533191,0.00516228,0.00538533
SCilho,0.05,14.155341069981274,0.00396062,0.00401375,0.00347605,0.00404828,0.00378934,0.00375957,0.00365794,0.00392317,0.00383501,0.00364806
