SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCilho2,0.99,0.6095479322634441,0.00540039,0.00560057,0.00548473,0.00563337,0.00494461,0.00535167,0.00533954,0.00581437,0.00574001,0.0059647499999999996
SCilho2,0.95,0.8448557556481657,0.00534683,0.00531046,0.00556155,0.00539519,0.00586256,0.00535814,0.00538245,0.00540364,0.00502279,0.00551321
SCilho2,0.8999999999999999,1.0422645171471976,0.00520764,0.00555576,0.00505334,0.00554326,0.00529221,0.00525755,0.00526061,0.00573565,0.00525138,0.00506534
SCilho2,0.85,1.2077755605117098,0.00520378,0.0052201,0.0054821,0.00530275,0.00540477,0.00541244,0.00586772,0.00534325,0.00532282,0.00482068
SCilho2,0.7999999999999999,1.3571967685952735,0.00571992,0.00532406,0.00546598,0.00563189,0.00530825,0.00502566,0.00548754,0.00552551,0.00522769,0.00576245
SCilho2,0.75,1.5166916697224475,0.0140886,0.0148614,0.0156468,0.0148663,0.0135324,0.0150367,0.0158073,0.0144461,0.0145226,0.015156
SCilho2,0.7,1.6743487894199445,0.0152716,0.0146764,0.0151315,0.014188600000000001,0.0156709,0.0143312,0.0142115,0.0151226,0.0148519,0.0142704
SCilho2,0.6499999999999999,1.8366381619401175,0.0152798,0.0142042,0.0153694,0.0146575,0.0154166,0.014667,0.0152707,0.015194,0.015864,0.01454
SCilho2,0.5999999999999999,2.021254686825136,0.0153146,0.0158369,0.01535,0.0152556,0.0158029,0.0156829,0.0144575,0.0140205,0.0134474,0.0141546
SCilho2,0.5499999999999999,2.2236501291092177,0.0149948,0.0149019,0.0149561,0.0146171,0.0145887,0.0151963,0.0140852,0.0139428,0.014303,0.0142022
SCilho2,0.49999999999999994,2.4417775519850324,0.0143393,0.0140379,0.0157123,0.0156292,0.0150312,0.015425,0.014779,0.0141096,0.0150477,0.0157017
SCilho2,0.45,2.707549020660737,0.0155003,0.014883,0.0153115,0.0143991,0.0145861,0.0133826,0.0144529,0.0141252,0.0144567,0.0150438
SCilho2,0.3999999999999999,2.9882532958566617,0.0134021,0.012938,0.0133884,0.0126435,0.0127657,0.0134486,0.0125209,0.0139191,0.0136653,0.0132607
SCilho2,0.34999999999999987,3.3305554240677573,0.0131816,0.0127933,0.013206,0.0135129,0.0128896,0.0144663,0.0130346,0.0133662,0.01361,0.0131113
SCilho2,0.29999999999999993,3.763371340270584,0.0127948,0.0120534,0.0135671,0.0125404,0.0120634,0.0130907,0.0133869,0.0133103,0.012853,0.0135768
SCilho2,0.2499999999999999,4.300325411161242,0.0103233,0.0101826,0.011479,0.0101932,0.0117582,0.010729,0.0113425,0.0104226,0.0102105,0.0101116
SCilho2,0.19999999999999996,4.952691405664918,0.0102469,0.0109109,0.0113875,0.0110279,0.010645,0.0105277,0.0101744,0.0113226,0.0103811,0.012072
SCilho2,0.1499999999999999,6.030635556556925,0.00950507,0.00845578,0.00879041,0.00880422,0.00814073,0.00859859,0.00867467,0.00848326,0.00795661,0.00811887
SCilho2,0.09999999999999988,7.691745835747896,0.00651022,0.00645555,0.00721666,0.00604859,0.00706089,0.00709663,0.00644596,0.0061438,0.0071861,0.00693233
SCilho2,0.05,11.738284281457176,0.00462729,0.0046738,0.00492497,0.00518081,0.00513844,0.00470334,0.00476647,0.00477746,0.0045873,0.00498936
