SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCorle,0.99,0.5535960578280549,0.00216042,0.00233081,0.00222815,0.00225199,0.00213748,0.00249769,0.00236042,0.00241902,0.00194791,0.00227318
SCorle,0.95,0.7869187960338523,0.00237116,0.00231708,0.00244454,0.00201835,0.00231088,0.00215003,0.00237873,0.00231118,0.00245942,0.00217068
SCorle,0.8999999999999999,0.961337716758098,0.00241704,0.00227967,0.00224434,0.00221364,0.00238971,0.00214714,0.00213835,0.0022684,0.00214134,0.00234617
SCorle,0.85,1.1119686216805378,0.00236129,0.00214785,0.00215579,0.00237519,0.00227573,0.00236048,0.00247054,0.00257551,0.0022421,0.00244371
SCorle,0.7999999999999999,1.255570812837083,0.00205853,0.00249508,0.00254672,0.00225293,0.00229245,0.00205523,0.00217823,0.00230082,0.00244215,0.00224008
SCorle,0.75,1.4021220064905662,0.00229271,0.00241523,0.00223083,0.0021575,0.00228431,0.00224446,0.00218665,0.00220984,0.00232635,0.00239398
SCorle,0.7,1.5519071028205398,0.00650975,0.00612523,0.00604274,0.0061106,0.0061942,0.00599194,0.00578778,0.00641668,0.00587166,0.006193
SCorle,0.6499999999999999,1.7130087620287078,0.00634723,0.00585722,0.00602907,0.00603098,0.00646607,0.00619547,0.00620228,0.00613664,0.00548608,0.00643249
SCorle,0.5999999999999999,1.8626710294880755,0.00608794,0.00620889,0.00635315,0.00586526,0.00612267,0.00581959,0.00580426,0.00557271,0.00596508,0.00601992
SCorle,0.5499999999999999,2.0607560169208785,0.00611564,0.00656098,0.00596193,0.00593619,0.00590278,0.00550783,0.00595428,0.00561215,0.00570625,0.00654151
SCorle,0.49999999999999994,2.2628489592403356,0.00586497,0.00629996,0.0058696,0.00628235,0.00545259,0.00584813,0.00612664,0.00603456,0.00629294,0.00613763
SCorle,0.45,2.4812898575676128,0.006005,0.00627372,0.00617086,0.00596293,0.00586085,0.00641811,0.00592532,0.00639488,0.00571209,0.00580809
SCorle,0.3999999999999999,2.76799218874094,0.00571026,0.00642315,0.00599046,0.00570318,0.00590044,0.00626529,0.00597758,0.00622062,0.00597819,0.00621477
SCorle,0.34999999999999987,3.099109891085066,0.00777192,0.00735138,0.00731842,0.0072752,0.00715073,0.00743682,0.00715106,0.00734458,0.00733482,0.00761093
SCorle,0.29999999999999993,3.4782236847139236,0.00703671,0.0074298,0.00702994,0.00734408,0.00733686,0.00693889,0.00758562,0.00729261,0.00770633,0.00753385
SCorle,0.2499999999999999,3.951771158691927,0.00704407,0.00704753,0.00747116,0.00743143,0.00730975,0.00699937,0.00690123,0.00747693,0.00731524,0.00728231
SCorle,0.19999999999999996,4.61161529953746,0.00786194,0.00773064,0.00778712,0.00776769,0.00808491,0.00772374,0.00724886,0.00811111,0.00787934,0.00783281
SCorle,0.1499999999999999,5.618844332395491,0.00759979,0.0077308,0.00777342,0.00787432,0.00788931,0.00753627,0.00782893,0.00770534,0.00788322,0.0074568
SCorle,0.09999999999999988,7.167421648066821,0.00805768,0.00796759,0.00805916,0.00806739,0.00794734,0.0080791,0.00819256,0.00819621,0.00815191,0.00806799
SCorle,0.05,10.725624336428398,0.00809698,0.00780245,0.00771055,0.00789091,0.00810774,0.00801255,0.00821466,0.00811804,0.00791252,0.0078946
