SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCserra4,0.99,0.6729629576828065,0.0017879,0.00165729,0.00161345,0.00164075,0.0017384,0.00158089,0.00152485,0.00165423,0.00169034,0.00173529
SCserra4,0.95,0.9555390656353896,0.00172407,0.00161203,0.00168581,0.00169386,0.00168929,0.00157071,0.00174462,0.00157512,0.00173315,0.00144998
SCserra4,0.8999999999999999,1.1623793744130722,0.00164335,0.00163926,0.00152338,0.0015358,0.00167245,0.00158009,0.00152185,0.001618,0.00178599,0.00158581
SCserra4,0.85,1.344673420513548,0.00171414,0.00176671,0.00153405,0.00170509,0.00156866,0.00171677,0.00148506,0.00162002,0.00165934,0.0017352
SCserra4,0.7999999999999999,1.5171418267926309,0.00293401,0.00265383,0.00248582,0.00265114,0.00280232,0.00257265,0.00257355,0.0029662,0.0023986,0.00286744
SCserra4,0.75,1.7014483268522045,0.0026109,0.00272534,0.00274061,0.00297364,0.00266371,0.00298188,0.00317692,0.00272818,0.00285833,0.00290603
SCserra4,0.7,1.87814376383492,0.00256706,0.00269586,0.00269419,0.0023179,0.00296543,0.00255345,0.00302413,0.00295779,0.00282882,0.00251254
SCserra4,0.6499999999999999,2.075297123461352,0.00274182,0.0027473,0.00308019,0.00299621,0.00301971,0.00283589,0.00310142,0.00272656,0.00292316,0.00291408
SCserra4,0.5999999999999999,2.2648805321084,0.00256111,0.00274856,0.00252628,0.00275898,0.00254649,0.00271379,0.00310969,0.00280462,0.00275652,0.00246287
SCserra4,0.5499999999999999,2.488881604035301,0.00300864,0.00300069,0.0024598,0.00274045,0.00249631,0.00304205,0.00308927,0.00268067,0.00283339,0.0027332
SCserra4,0.49999999999999994,2.7480437950707715,0.00300433,0.00300252,0.00289454,0.00263188,0.00267092,0.00270693,0.00275572,0.00267445,0.00242934,0.00271792
SCserra4,0.45,3.0014370485283117,0.00356939,0.00338368,0.00329815,0.00344045,0.00332563,0.00312804,0.00336677,0.00327487,0.00308276,0.00318499
SCserra4,0.3999999999999999,3.370916021139772,0.00336675,0.00307482,0.00337028,0.00328451,0.00365361,0.00334902,0.00326683,0.00315889,0.00326704,0.00307751
SCserra4,0.34999999999999987,3.738783363475781,0.00350303,0.00293871,0.00317892,0.00322752,0.00309123,0.00332418,0.00300147,0.00327905,0.00331361,0.00304192
SCserra4,0.29999999999999993,4.230180821140989,0.00286845,0.00349152,0.00345992,0.00305545,0.00335138,0.00323262,0.00341325,0.00338875,0.00363165,0.00304982
SCserra4,0.2499999999999999,4.7771978952591505,0.00321402,0.0033448,0.00337577,0.00330698,0.00346758,0.00364409,0.00342534,0.00334748,0.00338545,0.00342242
SCserra4,0.19999999999999996,5.619724081816071,0.00329158,0.00324831,0.00336172,0.00344358,0.0032109,0.00340775,0.00340765,0.00362101,0.00347911,0.00337731
SCserra4,0.1499999999999999,6.808403431727568,0.00339313,0.00314885,0.00323868,0.00331578,0.00348179,0.00380159,0.00346592,0.00353842,0.0031525,0.00354014
SCserra4,0.09999999999999988,8.605402012163317,0.00309686,0.00324451,0.00302704,0.00300129,0.00310341,0.00316933,0.00315444,0.00309358,0.00292575,0.00296396
SCserra4,0.05,13.034263326731349,0.0028513,0.00277581,0.00272919,0.00266156,0.00273463,0.0027355,0.00274967,0.00264313,0.00285922,0.00272287
