SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCside,0.99,0.6140492115334033,0.00314066,0.00327773,0.00310985,0.00308868,0.00299305,0.00314663,0.00309249,0.00312291,0.0030711,0.00315016
SCside,0.95,0.8765576961700521,0.00326331,0.00325715,0.00323309,0.00295432,0.00333916,0.00321149,0.00329629,0.00313223,0.00339046,0.00310692
SCside,0.8999999999999999,1.071059154224234,0.00299497,0.00296542,0.00323386,0.00323637,0.00316801,0.00320797,0.00307538,0.00332847,0.00319701,0.00307638
SCside,0.85,1.243490920699487,0.00306311,0.00329983,0.00322005,0.00280967,0.00326228,0.00311099,0.00308923,0.00346065,0.00299759,0.00328365
SCside,0.7999999999999999,1.406284563357333,0.00323496,0.00323542,0.00316904,0.00315112,0.00320495,0.0031159,0.00343275,0.00331578,0.00323257,0.00301733
SCside,0.75,1.5654104033849414,0.00623063,0.00649083,0.00691369,0.00637021,0.00773546,0.00646465,0.00668086,0.00652502,0.00634705,0.00644047
SCside,0.7,1.7287245731167555,0.00673952,0.00705431,0.00627254,0.00678377,0.00633649,0.00633505,0.00740654,0.00624928,0.00632619,0.00714272
SCside,0.6499999999999999,1.9103756532768297,0.00619608,0.00656159,0.00623903,0.00666321,0.00674113,0.00711253,0.00730345,0.00680392,0.00734705,0.00664983
SCside,0.5999999999999999,2.091906550659543,0.00650002,0.00700741,0.00677177,0.00725149,0.0063981,0.0070035,0.00652665,0.00653276,0.00730003,0.00696788
SCside,0.5499999999999999,2.2834308778952757,0.00638646,0.00620089,0.00637383,0.00707682,0.00670503,0.00642796,0.0067597,0.00693196,0.00664404,0.00653671
SCside,0.49999999999999994,2.5247213042220404,0.0065361,0.00668133,0.00690098,0.00701832,0.00661157,0.0061585,0.00733252,0.00760462,0.0067495,0.00737567
SCside,0.45,2.780171423186508,0.00840483,0.00668397,0.00630699,0.00684906,0.00729081,0.00672722,0.00675913,0.00598461,0.00634348,0.00626034
SCside,0.3999999999999999,3.090424178307215,0.00566783,0.00556774,0.00529921,0.00602974,0.00555978,0.00527372,0.00600106,0.00585868,0.00587032,0.00499108
SCside,0.34999999999999987,3.432026140614445,0.00594667,0.00626187,0.00576096,0.00607618,0.00608564,0.00536616,0.00525707,0.00565785,0.00593679,0.00517229
SCside,0.29999999999999993,3.8819587514393863,0.00550076,0.00583963,0.00537278,0.00527434,0.00510202,0.00554658,0.00613134,0.00583358,0.0058290700000000004,0.00542514
SCside,0.2499999999999999,4.419557418337718,0.00428632,0.00386867,0.00401062,0.00465564,0.00410648,0.00450602,0.00400501,0.00392657,0.00417687,0.0041471
SCside,0.19999999999999996,5.199368442225437,0.0042427,0.00452043,0.0040285,0.00421246,0.00405064,0.00420608,0.00358783,0.00389636,0.00422551,0.00482695
SCside,0.1499999999999999,6.2415418016327004,0.00321899,0.00386446,0.00404702,0.00361843,0.00350692,0.00354937,0.00348289,0.00322154,0.00352123,0.00371006
SCside,0.09999999999999988,7.976703585495448,0.00298358,0.00334036,0.00291653,0.00309553,0.00300527,0.00330539,0.00340985,0.00340783,0.0032041,0.00305898
SCside,0.05,12.072630635664384,0.00262293,0.00247581,0.0026234,0.00255111,0.00250322,0.00252529,0.00263046,0.00250933,0.00261913,0.00253195
