SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCside1,0.99,0.6860996429952629,0.00345164,0.00349692,0.00395231,0.00336588,0.00365884,0.00343106,0.00335631,0.00340111,0.0036447,0.00360623
SCside1,0.95,0.9642023326231924,0.00335272,0.00349857,0.00367528,0.00319991,0.00391673,0.00337374,0.00318589,0.00366116,0.00370781,0.00380716
SCside1,0.8999999999999999,1.1813592226418106,0.00345523,0.00326868,0.00350872,0.0036456,0.00378332,0.00353615,0.00386109,0.00377929,0.00363223,0.00362759
SCside1,0.85,1.3686439807686428,0.00355709,0.00341729,0.00317962,0.0034555,0.00323338,0.00352327,0.00349475,0.00354235,0.00371459,0.00381175
SCside1,0.7999999999999999,1.5501656411033724,0.0102189,0.0101016,0.0106726,0.0104484,0.0101735,0.0104164,0.00994377,0.0112163,0.0106498,0.0100193
SCside1,0.75,1.7205904182270486,0.0101394,0.0101552,0.0105465,0.0107445,0.0100876,0.0104376,0.0105141,0.00969462,0.00960091,0.0111265
SCside1,0.7,1.9051594328154815,0.00998877,0.0106819,0.00987968,0.010088,0.0103332,0.00981292,0.010806,0.0101773,0.00960688,0.0100367
SCside1,0.6499999999999999,2.0971288897272813,0.0109858,0.0104838,0.0102654,0.00974725,0.0110645,0.0109071,0.00941801,0.0104135,0.011552,0.0109901
SCside1,0.5999999999999999,2.2996194888551837,0.0102634,0.00977042,0.0101786,0.0109576,0.00987681,0.0105955,0.0101231,0.00999829,0.0101856,0.0102059
SCside1,0.5499999999999999,2.537439028444122,0.0108719,0.0102928,0.011742,0.0105091,0.00931437,0.00964097,0.0105989,0.0101,0.0103929,0.0103641
SCside1,0.49999999999999994,2.7835661068902775,0.0103588,0.010202,0.0104057,0.00996657,0.0105504,0.0108772,0.0109842,0.0106304,0.00946303,0.0102711
SCside1,0.45,3.0533388693679195,0.0123869,0.012161,0.0123347,0.0128258,0.0116483,0.0121583,0.0125609,0.0127973,0.0128894,0.0129203
SCside1,0.3999999999999999,3.3969889198274905,0.0122909,0.0120667,0.0122306,0.0122636,0.0124203,0.0119823,0.0125807,0.0118505,0.0125556,0.0127576
SCside1,0.34999999999999987,3.8022047359761912,0.0122745,0.0123439,0.0119704,0.0120643,0.0125698,0.0120882,0.0124115,0.0119619,0.012698,0.0119485
SCside1,0.29999999999999993,4.2628432974162855,0.0127469,0.0131267,0.0121536,0.0132164,0.0128362,0.0129806,0.0132064,0.0139446,0.0136674,0.0135102
SCside1,0.2499999999999999,4.853089924347146,0.0132275,0.0131485,0.0138286,0.0136906,0.0122618,0.013168,0.0127392,0.0133751,0.0125807,0.0127843
SCside1,0.19999999999999996,5.695090389483985,0.0136802,0.0128908,0.0131283,0.0133108,0.0133577,0.0135635,0.0134448,0.0131941,0.0141364,0.013192
SCside1,0.1499999999999999,6.884028499162448,0.0131239,0.0135633,0.0137144,0.0136299,0.0124593,0.0134332,0.0134463,0.0126149,0.0130743,0.0134732
SCside1,0.09999999999999988,8.904813072515605,0.0121106,0.0125901,0.0127464,0.0128783,0.012648,0.0131233,0.0131599,0.0130259,0.0120423,0.012522
SCside1,0.05,13.199178198758188,0.0118569,0.0115959,0.0118785,0.0111753,0.0111933,0.0113332,0.0119981,0.011483,0.0118127,0.0118888
