SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCsjo1,0.99,0.6780357258296467,0.0019864,0.00196475,0.00200696,0.00190545,0.00177626,0.00195476,0.00171792,0.00190155,0.00197036,0.00189629
SCsjo1,0.95,0.9609977193177216,0.00199478,0.00175753,0.00170789,0.00199709,0.00180927,0.0017536,0.0018135,0.00178909,0.00176363,0.00171407
SCsjo1,0.8999999999999999,1.1766141571768507,0.00198371,0.00194932,0.00178149,0.00198755,0.00205427,0.00187799,0.00180238,0.00197532,0.00193532,0.00190159
SCsjo1,0.85,1.3588313710063054,0.00175893,0.00186939,0.00186214,0.00196671,0.00193753,0.00201581,0.00174544,0.00200408,0.00194615,0.00197227
SCsjo1,0.7999999999999999,1.5276158460182736,0.00491294,0.00539027,0.00537648,0.00535428,0.00577037,0.00561806,0.00549081,0.00530878,0.00573525,0.00568075
SCsjo1,0.75,1.7029098958851043,0.00556941,0.00548547,0.00548727,0.00470979,0.00502729,0.00551182,0.00500876,0.00500876,0.00504048,0.00539023
SCsjo1,0.7,1.891051697204287,0.0056901,0.00591062,0.00540046,0.0051789,0.00585748,0.00544315,0.0051791,0.00572722,0.00534031,0.00560059
SCsjo1,0.6499999999999999,2.078511522341001,0.00512211,0.00512211,0.00547641,0.00560328,0.00541195,0.00534493,0.00562797,0.00498991,0.00433092,0.00536001
SCsjo1,0.5999999999999999,2.272519996883397,0.00560889,0.00575835,0.00545124,0.00528228,0.0054677,0.0054677,0.00571202,0.00531868,0.00496211,0.00515733
SCsjo1,0.5499999999999999,2.5133481651817973,0.00483837,0.00519948,0.00508926,0.00522812,0.00590115,0.00587051,0.00597733,0.00474421,0.00505124,0.0051702
SCsjo1,0.49999999999999994,2.758980080223067,0.00518932,0.00529278,0.00536083,0.00541567,0.0049018,0.00589523,0.00552332,0.00598695,0.00523527,0.00561041
SCsjo1,0.45,3.045044249302887,0.00617554,0.00616635,0.00590736,0.00598129,0.0059892,0.00690321,0.00598653,0.00622232,0.0065236,0.00598122
SCsjo1,0.3999999999999999,3.3831369403402527,0.00654117,0.00642026,0.00594868,0.00638027,0.00646214,0.00583071,0.00658466,0.00591385,0.00674493,0.00610603
SCsjo1,0.34999999999999987,3.764621169216664,0.00645199,0.00605862,0.00621463,0.00565532,0.00656676,0.00661978,0.00679996,0.00623111,0.0062314,0.00573969
SCsjo1,0.29999999999999993,4.229595977240602,0.00659122,0.00646326,0.00626632,0.00594998,0.00643447,0.00696847,0.00696847,0.00665618,0.00609031,0.00571521
SCsjo1,0.2499999999999999,4.855355947334002,0.00630218,0.00617914,0.00649245,0.00625539,0.0065923,0.00676257,0.006885,0.00635384,0.00627176,0.00644645
SCsjo1,0.19999999999999996,5.665036338353092,0.00649536,0.00662619,0.006127,0.00682889,0.00588687,0.00666138,0.00682395,0.00706247,0.00629986,0.00650926
SCsjo1,0.1499999999999999,6.845351811980836,0.00647936,0.00646639,0.00634035,0.0059437,0.00622707,0.00638534,0.00675769,0.00682945,0.0061431,0.00633881
SCsjo1,0.09999999999999988,8.751639335914692,0.00631449,0.00575457,0.00613452,0.00594734,0.00612611,0.00609408,0.00628578,0.00635696,0.00586438,0.00599548
SCsjo1,0.05,13.170477115728216,0.00575613,0.00589763,0.00619794,0.00606756,0.00569033,0.00627238,0.00604345,0.00579909,0.00580707,0.00589078
