SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCtimbe1,0.99,0.4558443752445247,0.00174296,0.00208153,0.0017111,0.00180842,0.00170682,0.00188277,0.00187713,0.00171507,0.00176689,0.00194552
SCtimbe1,0.95,0.6528725099916338,0.00183414,0.00188116,0.00195029,0.00189393,0.00180999,0.00161731,0.00157698,0.001682,0.00189682,0.00169469
SCtimbe1,0.8999999999999999,0.7927832697996473,0.00181674,0.00201831,0.00184348,0.00162081,0.00177472,0.00175393,0.00179957,0.00179944,0.00174854,0.00173954
SCtimbe1,0.85,0.9202947747981616,0.00184643,0.00179661,0.00190132,0.00175471,0.00159867,0.00173065,0.00189731,0.0017611,0.00169591,0.00183671
SCtimbe1,0.7999999999999999,1.0362575176043478,0.0018666,0.00185772,0.00179259,0.00185965,0.00177299,0.00193749,0.00164675,0.00177313,0.00176922,0.00170552
SCtimbe1,0.75,1.1508322832918705,0.00171003,0.0017946,0.00179949,0.00186977,0.00180887,0.00174691,0.00183165,0.00182687,0.00183071,0.00177185
SCtimbe1,0.7,1.2744223173589209,0.00180383,0.0018579,0.00188805,0.00190828,0.0017382,0.00193535,0.00175369,0.00186981,0.00183632,0.00177665
SCtimbe1,0.6499999999999999,1.4004471091168311,0.00179735,0.00170097,0.00185506,0.00190898,0.00184585,0.00182209,0.00174499,0.00163043,0.0017624,0.00179529
SCtimbe1,0.5999999999999999,1.5389736167622106,0.00510206,0.00511337,0.00489896,0.00485457,0.00500679,0.00469567,0.00520648,0.0053135,0.00480134,0.00533433
SCtimbe1,0.5499999999999999,1.68986041346138,0.00516399,0.00449586,0.00483767,0.00492054,0.00473486,0.00471357,0.00485743,0.00472523,0.00487134,0.00506792
SCtimbe1,0.49999999999999994,1.8693962033312763,0.00475744,0.00499088,0.00475552,0.00491803,0.00483975,0.00491073,0.00524911,0.00471703,0.00517227,0.00498776
SCtimbe1,0.45,2.048550782715424,0.00513563,0.00469578,0.00495436,0.00498044,0.00481173,0.00478579,0.00493889,0.00490728,0.0051114,0.00481374
SCtimbe1,0.3999999999999999,2.2772701736346868,0.00484216,0.00497876,0.00466284,0.00489719,0.00476239,0.00473708,0.0049876,0.00510137,0.00499783,0.00487498
SCtimbe1,0.34999999999999987,2.5352534953542127,0.00552163,0.0050145,0.00456868,0.00489241,0.00432117,0.00480634,0.00523135,0.00496574,0.00497614,0.00470745
SCtimbe1,0.29999999999999993,2.8511008110240024,0.0043299,0.00460926,0.00452417,0.00441879,0.0043105,0.00468346,0.00427432,0.00463161,0.00447624,0.00450551
SCtimbe1,0.2499999999999999,3.2657635721323848,0.00443541,0.00434087,0.00376195,0.00413199,0.00425613,0.00430069,0.00424585,0.00455079,0.00399141,0.00437868
SCtimbe1,0.19999999999999996,3.815622036724783,0.00466957,0.00416686,0.00412361,0.0046057,0.00470268,0.00450679,0.00464277,0.00413424,0.00432957,0.00423945
SCtimbe1,0.1499999999999999,4.59946867699967,0.00338178,0.00370629,0.0031756,0.00366912,0.00328296,0.00336189,0.00345859,0.00325986,0.00386907,0.00355776
SCtimbe1,0.09999999999999988,5.915141464660547,0.00284306,0.00304754,0.00295377,0.00290075,0.0028748,0.00269582,0.00288184,0.00295275,0.00299388,0.00274708
SCtimbe1,0.05,8.959917332240275,0.00243582,0.00240028,0.002461,0.00244163,0.00233339,0.00235525,0.0024921,0.00220846,0.00224958,0.00220386
