SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SCvolta1,0.99,0.6307086705116686,6.91892e-4,7.0521e-4,7.08515e-4,7.47842e-4,8.04442e-4,8.15416e-4,7.43311e-4,6.48343e-4,7.91543e-4,7.06216e-4
SCvolta1,0.95,0.8905209975291455,7.3308e-4,7.11437e-4,8.0542e-4,7.73546e-4,8.26389e-4,7.7982e-4,8.42118e-4,8.30837e-4,7.56206e-4,6.91488e-4
SCvolta1,0.8999999999999999,1.092627148367503,7.55536e-4,7.50993e-4,7.52307e-4,8.06386e-4,7.66495e-4,7.43637e-4,7.17655e-4,7.99631e-4,7.0748e-4,7.72701e-4
SCvolta1,0.85,1.2672225021940469,6.69156e-4,7.57861e-4,6.87522e-4,8.21053e-4,8.01703e-4,7.30235e-4,6.97458e-4,7.01721e-4,6.25029e-4,8.02427e-4
SCvolta1,0.7999999999999999,1.4217120773777607,0.00228616,0.00200376,0.00199183,0.00195762,0.00237569,0.00235549,0.00202789,0.00200361,0.00162821,0.00176114
SCvolta1,0.75,1.5852955901272556,0.00186016,0.00208046,0.00192123,0.0018401,0.00191678,0.00190903,0.00172715,0.00214914,0.00216687,0.00202243
SCvolta1,0.7,1.7655140425411124,0.00221784,0.0015687,0.00202097,0.00182739,0.00237874,0.00195034,0.00195998,0.00195748,0.00204643,0.00169139
SCvolta1,0.6499999999999999,1.9424751484965608,0.00207002,0.00178966,0.00201987,0.00234905,0.00200828,0.00223639,0.00190869,0.00195511,0.00179375,0.00188748
SCvolta1,0.5999999999999999,2.1275099564228257,0.00178073,0.00201311,0.00207338,0.00189447,0.0020219,0.00176198,0.00166337,0.00213164,0.00223854,0.00211404
SCvolta1,0.5499999999999999,2.34086533108964,0.00205874,0.00224887,0.00211238,0.00188967,0.00227301,0.00202406,0.0016638,0.0019898199999999998,0.00198624,0.00188449
SCvolta1,0.49999999999999994,2.568077799222974,0.00242072,0.0017772,0.00217029,0.00174514,0.00214252,0.00194623,0.00186593,0.00173678,0.00186272,0.00179218
SCvolta1,0.45,2.8327936253824215,0.0016689,0.00158581,0.00172254,0.00177956,0.00152372,0.00144768,0.00175577,0.00157992,0.00177168,0.00156444
SCvolta1,0.3999999999999999,3.1289161719856247,0.0016972,0.00154298,0.00163438,0.00167839,0.00164825,0.00149361,0.0016869,0.00147398,0.00149513,0.00162666
SCvolta1,0.34999999999999987,3.5046749857694444,0.00165697,0.00181759,0.00160677,0.0017116,0.00157301,0.00177137,0.00170345,0.00193691,0.00187426,0.0018159
SCvolta1,0.29999999999999993,3.9544249888479057,0.00192921,0.00162358,0.00151268,0.0016058,0.00174113,0.00149564,0.00187413,0.00169887,0.00172579,0.00195759
SCvolta1,0.2499999999999999,4.502005252120296,0.0013677,0.00153089,0.00172215,0.00155749,0.00174448,0.00139707,0.00168838,0.00160317,0.0014357,0.00161748
SCvolta1,0.19999999999999996,5.2677672774682875,0.00137654,0.00167709,0.00153984,0.00146342,0.00152499,0.0015435,0.00150341,0.00140345,0.00162288,0.00157412
SCvolta1,0.1499999999999999,6.346907874649732,0.00139091,0.00152863,0.00135645,0.00149174,0.00142527,0.00148533,0.00142813,0.00139366,0.00147271,0.0013671
SCvolta1,0.09999999999999988,8.193336989509525,0.00139996,0.00122146,0.0013854,0.00125135,0.00132541,0.00135499,0.00133188,0.00128054,0.00138326,0.00127523
SCvolta1,0.05,12.344784807194428,0.0011491,0.00114635,0.0011022,0.00114541,0.00112075,0.00114929,0.00113547,0.00112031,0.0010949,0.00115424
