SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPcana1,0.99,0.5829793822979455,0.00348493,0.00365157,0.00361342,0.00333779,0.00379995,0.00343544,0.00341438,0.00334946,0.00351026,0.00354881
SPcana1,0.95,0.8306611318639348,0.00325294,0.00366808,0.00344822,0.00338928,0.00358283,0.00330472,0.0035016,0.0033274,0.00338892,0.00348578
SPcana1,0.8999999999999999,1.0186429610380363,0.00361039,0.00353891,0.00345196,0.00333949,0.00322373,0.00361431,0.00364821,0.00365244,0.00346233,0.0036579
SPcana1,0.85,1.1804346118631632,0.00336286,0.00366947,0.0036852,0.0034823,0.00337902,0.00339029,0.00348868,0.00353868,0.00341537,0.00347717
SPcana1,0.7999999999999999,1.3302419670059888,0.00330712,0.00352388,0.00347788,0.0037402,0.00346008,0.00345863,0.00351727,0.00341602,0.0035284,0.00351494
SPcana1,0.75,1.4748998174326498,0.00818379,0.00814579,0.00851121,0.00824084,0.00858387,0.0087402,0.00815702,0.0078551,0.00802274,0.00852216
SPcana1,0.7,1.6342281487264685,0.00924048,0.00873285,0.00862532,0.00922835,0.00863395,0.00840638,0.00778599,0.00764228,0.00919238,0.0087216
SPcana1,0.6499999999999999,1.7926009019046416,0.00828802,0.00913198,0.00862941,0.00861331,0.00936876,0.00846501,0.00865176,0.0082565,0.00849007,0.00906432
SPcana1,0.5999999999999999,1.9777303735579503,0.00907238,0.00855427,0.00857919,0.00810447,0.00886383,0.00922781,0.00900787,0.00853016,0.00914983,0.0088661
SPcana1,0.5499999999999999,2.16446300493114,0.0088026,0.00913993,0.00961154,0.00807269,0.00902549,0.00834874,0.0090965,0.0084503000000000009,0.0086384,0.00877651
SPcana1,0.49999999999999994,2.38849325583363,0.00889082,0.008756,0.00880606,0.00830665,0.00857139,0.0086705,0.0089534,0.00934446,0.00822371,0.00883891
SPcana1,0.45,2.643899067956114,0.00874086,0.00901398,0.00866089,0.00884091,0.00891729,0.00795548,0.00952713,0.0083624,0.00893796,0.00913677
SPcana1,0.3999999999999999,2.909157519132301,0.00775527,0.00765206,0.00763529,0.00755245,0.00742557,0.00819167,0.00804184,0.00811019,0.00730217,0.00822119
SPcana1,0.34999999999999987,3.2432907970976195,0.0072949,0.00695363,0.00749835,0.00777093,0.00791764,0.00842269,0.00806602,0.00771638,0.00783,0.00805818
SPcana1,0.29999999999999993,3.6592131326843336,0.00803931,0.00746463,0.00745566,0.00832842,0.00792115,0.00773377,0.00840082,0.00758955,0.00728647,0.00734956
SPcana1,0.2499999999999999,4.192549850105942,0.00736527,0.00686597,0.00760911,0.00785817,0.00812288,0.00781531,0.00795487,0.00785816,0.00793292,0.00768438
SPcana1,0.19999999999999996,4.860454766842677,0.00616465,0.0062376,0.00594754,0.00565628,0.00668606,0.00596603,0.0064084,0.00589585,0.00604689,0.005808
SPcana1,0.1499999999999999,5.868861127444,0.00499172,0.00520465,0.00495095,0.00503898,0.00503552,0.00494035,0.00484955,0.00451677,0.00499772,0.0047989
SPcana1,0.09999999999999988,7.609802420959787,0.00441508,0.00459174,0.00456568,0.00421294,0.00413533,0.00402665,0.00394198,0.00437804,0.00423735,0.00436308
SPcana1,0.05,11.258311608494305,0.00356127,0.00350924,0.00333551,0.00389763,0.00338699,0.0034832,0.00364678,0.00352438,0.00374952,0.00345107
