SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPcara1,0.99,0.5524884441979098,0.00483589,0.00448956,0.00410222,0.00415243,0.00407269,0.00414869,0.00405734,0.00391527,0.00419188,0.00406275
SPcara1,0.95,0.7837985449806565,0.00440398,0.00388208,0.0038251,0.00443328,0.0042733,0.00431638,0.00408448,0.00415188,0.00412708,0.00454996
SPcara1,0.8999999999999999,0.9604345461549648,0.00431275,0.00418408,0.00429979,0.00403072,0.0038376,0.0043138,0.00424056,0.00419913,0.00409221,0.0041604500000000004
SPcara1,0.85,1.1064822690239091,0.00431531,0.00447611,0.00434969,0.00373848,0.0044877,0.00405627,0.0041495,0.00413483,0.00401293,0.00401334
SPcara1,0.7999999999999999,1.2465284022482734,0.0041018,0.00423778,0.00405067,0.00408793,0.00404568,0.00433635,0.00404639,0.00423056,0.0041228,0.00442356
SPcara1,0.75,1.392824210083612,0.00413388,0.00399189,0.00390599,0.00386907,0.00428374,0.00402088,0.00411898,0.00450072,0.0041123,0.00423897
SPcara1,0.7,1.5382383617626136,0.0119488,0.0115668,0.011564,0.0113538,0.0110135,0.0105634,0.010586,0.0105088,0.0116534,0.0111634
SPcara1,0.6499999999999999,1.6961203578239192,0.0119311,0.0116164,0.0115428,0.0118395,0.0108949,0.0114897,0.0113476,0.0118047,0.0112747,0.0113206
SPcara1,0.5999999999999999,1.8599272267308464,0.0114626,0.0118371,0.0109902,0.0119003,0.0110017,0.0113548,0.0107726,0.0115911,0.0116163,0.0122875
SPcara1,0.5499999999999999,2.0396207542664944,0.0117767,0.0113861,0.0110756,0.0104913,0.0121395,0.0117688,0.0103506,0.012066,0.0113858,0.0117034
SPcara1,0.49999999999999994,2.2564461100350384,0.0115226,0.011454,0.0114148,0.0107486,0.0110364,0.0115116,0.0121583,0.0108861,0.0109702,0.0110881
SPcara1,0.45,2.4747664706475434,0.0108903,0.0109526,0.0104492,0.0116931,0.0111981,0.0110615,0.0116965,0.01181,0.0111709,0.0122036
SPcara1,0.3999999999999999,2.7517566595962024,0.01144,0.0105408,0.0109258,0.0106807,0.0108916,0.0115604,0.0114461,0.0117073,0.0114091,0.0110185
SPcara1,0.34999999999999987,3.0566216960650205,0.0100979,0.00932323,0.00993561,0.00973789,0.0110216,0.00975452,0.00964675,0.0110867,0.00998479,0.00997854
SPcara1,0.29999999999999993,3.448521363896929,0.0100957,0.0107921,0.0109393,0.00994847,0.0104951,0.00966651,0.010338,0.0110603,0.0108845,0.00996898
SPcara1,0.2499999999999999,3.93693678440547,0.0103198,0.0105709,0.0111375,0.0101706,0.00994939,0.00967415,0.00987957,0.00947071,0.0103881,0.00957635
SPcara1,0.19999999999999996,4.621670810692353,0.00855542,0.00785839,0.00934256,0.00776656,0.00903462,0.0088645,0.00861482,0.00839987,0.00836638,0.00821212
SPcara1,0.1499999999999999,5.5658505056967265,0.00856832,0.00767407,0.00849499,0.00832285,0.00776206,0.00796599,0.00787915,0.00849809,0.0084624,0.00938378
SPcara1,0.09999999999999988,7.141143833044325,0.00515273,0.00520857,0.00556556,0.00550187,0.00529338,0.00532463,0.00507573,0.00543072,0.00527849,0.00536856
SPcara1,0.05,10.677894022727504,0.00436523,0.00436198,0.00437471,0.00406296,0.004271,0.00409918,0.00414777,0.00420511,0.00411006,0.0039343
