SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPeec5,0.99,0.7636998246158718,0.00227506,0.00247295,0.00283213,0.00224769,0.00210843,0.00256313,0.00253132,0.00239839,0.00265108,0.00209142
SPeec5,0.95,1.090816096693137,0.00236459,0.00267349,0.00234626,0.00201441,0.00235464,0.00273801,0.00256651,0.00231552,0.0025685,0.00275216
SPeec5,0.8999999999999999,1.3411968391256837,0.00215251,0.00238657,0.0028139,0.0025229,0.00246261,0.00248442,0.00225905,0.00225467,0.00230828,0.0026964
SPeec5,0.85,1.54783922271754,0.00685601,0.00652048,0.00711234,0.00704675,0.00786214,0.00752142,0.00681168,0.00711509,0.00743267,0.00687249
SPeec5,0.7999999999999999,1.743947877147566,0.00745223,0.00631046,0.00759987,0.00696898,0.00717674,0.00654256,0.00635373,0.00740148,0.00658345,0.00683823
SPeec5,0.75,1.9477730944432765,0.00685193,0.00738916,0.00701939,0.00704395,0.00703974,0.00730189,0.00655721,0.00732503,0.00703092,0.00699691
SPeec5,0.7,2.145287294216276,0.00709376,0.00745624,0.00679088,0.00638728,0.00643881,0.00705115,0.00646272,0.00706017,0.00675819,0.00700622
SPeec5,0.6499999999999999,2.3621915493862073,0.00681472,0.00671081,0.00622059,0.00684257,0.00659007,0.0066294,0.00745952,0.00745795,0.00742326,0.00841223
SPeec5,0.5999999999999999,2.589391191947024,0.00758865,0.00690944,0.00666008,0.00709041,0.00671489,0.00737551,0.00681595,0.00732122,0.00660895,0.00644973
SPeec5,0.5499999999999999,2.8531794739633116,0.00467339,0.00604439,0.00476862,0.0055683,0.00581315,0.00594437,0.0055315,0.00550242,0.00649584,0.00523511
SPeec5,0.49999999999999994,3.16229874149015,0.00601996,0.00492029,0.00495307,0.0063747,0.00590458,0.00617259,0.00565393,0.00556132,0.00619519,0.00588061
SPeec5,0.45,3.4528626310825583,0.00587393,0.0055824,0.00506243,0.0058742,0.00480026,0.00596594,0.00516159,0.00554535,0.00543366,0.00569572
SPeec5,0.3999999999999999,3.842022283496327,0.00468691,0.00469016,0.00542179,0.00558244,0.00537933,0.00588627,0.00538438,0.00478988,0.00532332,0.00520631
SPeec5,0.34999999999999987,4.300109679211403,0.00415807,0.00413637,0.0041483,0.00395583,0.00400516,0.00383846,0.00452617,0.0048093,0.00392406,0.00469115
SPeec5,0.29999999999999993,4.799226052789123,0.00424376,0.0039101,0.00422904,0.00442593,0.00419275,0.00410784,0.00396828,0.00426261,0.00417171,0.00408629
SPeec5,0.2499999999999999,5.495984497341459,0.00396513,0.00434632,0.00418236,0.00408403,0.00405943,0.0034681,0.00407142,0.00386302,0.00442462,0.00413436
SPeec5,0.19999999999999996,6.39072383437856,0.00327061,0.00365012,0.00328244,0.00368766,0.00319496,0.00373412,0.0033858,0.00360122,0.00358064,0.00369214
SPeec5,0.1499999999999999,7.739157160780263,0.00316943,0.00344487,0.00299004,0.0035353200000000002,0.00312374,0.00309099,0.00314244,0.00317152,0.00307043,0.0032218
SPeec5,0.09999999999999988,9.931456539944511,0.0024543,0.00274879,0.00266852,0.0025308,0.00251155,0.0026536,0.00272748,0.00278551,0.00235152,0.00254825
SPeec5,0.05,14.954119218342075,0.0024229,0.00242592,0.00243663,0.00236085,0.00219521,0.00232097,0.00239986,0.00230708,0.00241801,0.00221995
