SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPigua1,0.99,0.6056742403497647,0.00509512,0.00487871,0.00492577,0.00466174,0.0051949,0.0051719,0.0050925,0.0050742,0.00507953,0.00479549
SPigua1,0.95,0.8577775828805941,0.0049916,0.0051239,0.00490909,0.00485505,0.00475019,0.00524128,0.0046094,0.00494325,0.00482453,0.00522153
SPigua1,0.8999999999999999,1.040431445177121,0.00457157,0.00541903,0.00488057,0.00472611,0.00499253,0.00520737,0.00517896,0.00509361,0.00508115,0.00468947
SPigua1,0.85,1.212292827183017,0.00519364,0.00490942,0.00505747,0.00507465,0.00485189,0.00488136,0.00494604,0.00510959,0.00494355,0.0052379
SPigua1,0.7999999999999999,1.362236758511202,0.00519337,0.00478165,0.00505349,0.00497195,0.0047872,0.00490251,0.00493303,0.00496989,0.00504927,0.00495219
SPigua1,0.75,1.5206091636651544,0.0142453,0.0129601,0.01329,0.0138867,0.0139182,0.0130042,0.0125312,0.012989,0.0129933,0.0126581
SPigua1,0.7,1.6815938589515038,0.0141245,0.0144217,0.0129073,0.0136482,0.0135816,0.0133229,0.0153337,0.0133954,0.0137048,0.0149781
SPigua1,0.6499999999999999,1.836500165053181,0.0129536,0.012883,0.0125181,0.0141523,0.0129192,0.012593,0.0128522,0.0138522,0.0144814,0.0132047
SPigua1,0.5999999999999999,2.0315231805142995,0.0130714,0.0130004,0.0132605,0.0127259,0.0129547,0.0132278,0.01354,0.0137466,0.0133026,0.0130132
SPigua1,0.5499999999999999,2.2391669525304945,0.014437,0.0148693,0.0137206,0.0152444,0.0137512,0.0139178,0.0140365,0.0137166,0.0133486,0.0141347
SPigua1,0.49999999999999994,2.4557090079495576,0.0130538,0.0136342,0.0142411,0.012339,0.0132964,0.0137024,0.0140048,0.014786,0.0133294,0.0142626
SPigua1,0.45,2.69032959693182,0.0141587,0.0146004,0.0143635,0.0133885,0.0134851,0.014388,0.0116888,0.0129994,0.0131416,0.0134156
SPigua1,0.3999999999999999,2.9834910438977,0.0124304,0.0117445,0.0114032,0.0130246,0.0126371,0.0115054,0.012099,0.011907,0.0131794,0.0123281
SPigua1,0.34999999999999987,3.330359667413191,0.0130434,0.0120629,0.0123554,0.0123973,0.0129979,0.0130291,0.0128837,0.0124691,0.0121702,0.0120253
SPigua1,0.29999999999999993,3.754767284282762,0.0124414,0.0115875,0.0116979,0.011064,0.0110852,0.0123665,0.0111749,0.0128277,0.0122859,0.0129917
SPigua1,0.2499999999999999,4.284738626767591,0.0100524,0.0103068,0.00974141,0.0101682,0.0101653,0.0103611,0.00942465,0.0102593,0.0102727,0.0105343
SPigua1,0.19999999999999996,4.983906043376905,0.0102122,0.0103192,0.00991169,0.00947932,0.00983734,0.00911986,0.00987608,0.00952654,0.00944011,0.0107303
SPigua1,0.1499999999999999,6.083234029834856,0.007208,0.00737268,0.00757378,0.00728037,0.00702259,0.00765273,0.007663,0.00861026,0.00767349,0.00764662
SPigua1,0.09999999999999988,7.775089477944223,0.0057532,0.00665175,0.00604116,0.00629679,0.00555573,0.00622731,0.00566937,0.00645375,0.00612153,0.0055407
SPigua1,0.05,11.635535384781235,0.00430828,0.00423525,0.00429291,0.00420328,0.00455682,0.00417615,0.00424383,0.00428541,0.00413372,0.00434193
