SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPitir1,0.99,0.9829984907839492,0.00445033,0.00392436,0.00441304,0.00524242,0.00435619,0.00503735,0.00437293,0.00474417,0.00475776,0.00429231
SPitir1,0.95,1.3936345745305012,0.00483475,0.00401251,0.00427021,0.00402903,0.00447804,0.00409215,0.0038761,0.004586,0.00455255,0.00409688
SPitir1,0.8999999999999999,1.6978391165689766,0.010549,0.0129582,0.0129582,0.0133679,0.0118254,0.0113741,0.0104843,0.0111308,0.0119143,0.0113179
SPitir1,0.85,1.976384105266333,0.0119835,0.0120815,0.0130019,0.0127584,0.0127584,0.0131861,0.0102321,0.0117218,0.0108295,0.0105583
SPitir1,0.7999999999999999,2.223678714466367,0.0105583,0.0116915,0.0110942,0.0127469,0.0127469,0.0118214,0.0132796,0.011231,0.0129153,0.0116887
SPitir1,0.75,2.4843207722792444,0.0115128,0.0115128,0.0129666,0.0115998,0.0123652,0.0114953,0.0114953,0.013673,0.0114154,0.0127862
SPitir1,0.7,2.750702219022681,0.0127862,0.012975,0.010716,0.0117486,0.0117486,0.012158,0.0120973,0.0131219,0.0114317,0.0114317
SPitir1,0.6499999999999999,3.0169226842302015,0.0104009,0.00962447,0.00926105,0.00926105,0.0105145,0.00983298,0.00927666,0.00966317,0.0102512,0.0108044
SPitir1,0.5999999999999999,3.328396878080644,0.00991692,0.010598,0.0101768,0.0100892,0.0100892,0.00962579,0.0092477,0.00956753,0.00933254,0.00963187
SPitir1,0.5499999999999999,3.633631274512047,0.00994926,0.00994926,0.0106972,0.00980525,0.00978192,0.0100824,0.0100284,0.0103758,0.00953245,0.0112458
SPitir1,0.49999999999999994,4.020967093910056,0.0105569,0.00962266,0.00963791,0.00963791,0.010672,0.0104255,0.0107583,0.00948349,0.00872175,0.0108454
SPitir1,0.45,4.402893099033821,0.00901415,0.00941794,0.00941794,0.00889781,0.00962124,0.00886242,0.00946222,0.00899798,0.00899798,0.00799814
SPitir1,0.3999999999999999,4.900915624386281,0.0085861,0.00942281,0.00867346,0.00946503,0.00946503,0.00880072,0.00833112,0.00899918,0.00845445,0.0090704
SPitir1,0.34999999999999987,5.476153826778932,0.00945236,0.00945236,0.00791318,0.00872353,0.00879783,0.00968425,0.00860921,0.00896828,0.00896828,0.00834903
SPitir1,0.29999999999999993,6.123086024289007,0.00839302,0.00748157,0.00806972,0.00773165,0.00827336,0.00794989,0.00843224,0.00790744,0.00790744,0.00850441
SPitir1,0.2499999999999999,7.016544610818361,0.00825076,0.00738697,0.00743512,0.00821897,0.00738316,0.00756017,0.00740369,0.00789905,0.00771435,0.00757387
SPitir1,0.19999999999999996,8.194899788229973,0.00691899,0.00712873,0.00765716,0.00755851,0.0073868,0.0073868,0.00769096,0.00762437,0.00786666,0.00704769
SPitir1,0.1499999999999999,9.956506737121956,0.0069491,0.00638296,0.00616442,0.00626847,0.00650276,0.00656311,0.0066845,0.00622697,0.00620179,0.00573788
SPitir1,0.09999999999999988,12.81594454064926,0.00577538,0.00500264,0.00559213,0.00541461,0.00559123,0.00608251,0.00550968,0.00560768,0.00557929,0.00573929
SPitir1,0.05,19.04163331096584,0.00510497,0.00493469,0.00468369,0.00442944,0.00493064,0.00463309,0.00449686,0.00440036,0.00475834,0.00497882
