SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPjabo1,0.99,0.7012055841473891,0.00180863,0.00182714,0.00166776,0.00169051,0.00172758,0.00199475,0.00184819,0.00192439,0.00179161,0.00178678
SPjabo1,0.95,1.0029895004496945,0.00177448,0.00174734,0.00165959,0.00182758,0.0017402,0.00168367,0.0017824,0.00177188,0.00190729,0.00175191
SPjabo1,0.8999999999999999,1.2264804730141616,0.00176439,0.00171586,0.00177479,0.00194172,0.00181418,0.00191393,0.00181602,0.00175551,0.00179301,0.00186432
SPjabo1,0.85,1.4151320681569115,0.0046147,0.00437783,0.00427897,0.00451708,0.00429451,0.0040507,0.00474967,0.00475227,0.00431312,0.00411646
SPjabo1,0.7999999999999999,1.599889336636973,0.00436288,0.00429894,0.00470312,0.00429623,0.00403693,0.00423794,0.00428469,0.00425397,0.00456606,0.00410561
SPjabo1,0.75,1.785913929066525,0.00435816,0.00411681,0.00433472,0.0044008,0.00471053,0.00420671,0.00425801,0.0044067,0.00438239,0.0043172
SPjabo1,0.7,1.9817002368246224,0.00436311,0.00440611,0.00416053,0.00445275,0.00501823,0.00437956,0.00455632,0.00394706,0.00465908,0.00427487
SPjabo1,0.6499999999999999,2.1599162858279604,0.00430824,0.00436418,0.00414445,0.0043009500000000004,0.00427722,0.00440595,0.00459628,0.00435777,0.00472211,0.00433028
SPjabo1,0.5999999999999999,2.3902498331076445,0.00466523,0.00456068,0.0042552,0.00431385,0.00449958,0.00415665,0.00434605,0.00465584,0.00440374,0.00427331
SPjabo1,0.5499999999999999,2.622954639495622,0.00441491,0.00451879,0.00385215,0.00404679,0.00452536,0.0041277,0.00470044,0.00432306,0.00435873,0.00444197
SPjabo1,0.49999999999999994,2.868275205590942,0.00576111,0.0056069,0.00569271,0.00621722,0.00563914,0.00562977,0.00583346,0.00563093,0.00570982,0.00563714
SPjabo1,0.45,3.161815571745994,0.0060548,0.00597776,0.00570661,0.00556781,0.00565617,0.0059402,0.00611419,0.00586488,0.00572639,0.00586715
SPjabo1,0.3999999999999999,3.526674443407144,0.00595075,0.00571866,0.00557339,0.0059323,0.00577928,0.00607626,0.00584216,0.0058115,0.00556994,0.00558074
SPjabo1,0.34999999999999987,3.909680874502899,0.00583197,0.00571176,0.00572148,0.00564719,0.00560638,0.00572984,0.00569763,0.00591833,0.00580618,0.00566283
SPjabo1,0.29999999999999993,4.397576870113511,0.00638411,0.00600337,0.006384,0.00647502,0.0062419,0.00636469,0.00646697,0.00612802,0.00619464,0.00636365
SPjabo1,0.2499999999999999,5.035387761496349,0.00639997,0.00639041,0.0063432,0.00630375,0.00627566,0.00645174,0.00630016,0.00647615,0.00610529,0.00629616
SPjabo1,0.19999999999999996,5.8917304899979515,0.00716637,0.00657403,0.00652344,0.00637201,0.00657804,0.00648247,0.00668358,0.00665024,0.00648523,0.00674731
SPjabo1,0.1499999999999999,7.1293742598413266,0.00654085,0.00671146,0.00659192,0.00662687,0.00677005,0.00674301,0.00695666,0.00677747,0.00634734,0.00653844
SPjabo1,0.09999999999999988,9.100738214775337,0.0066977,0.00670438,0.00673364,0.00668213,0.0069575,0.00686458,0.0063982,0.00682014,0.0065431,0.00680681
SPjabo1,0.05,13.731967266420892,0.00702079,0.00646199,0.00682292,0.00682293,0.00681451,0.00684951,0.0066903,0.00661472,0.00679332,0.00641937
