SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpecb1,0.99,0.7549204052645567,6.57498e-4,6.85135e-4,6.88768e-4,7.05302e-4,7.32764e-4,6.82695e-4,6.82605e-4,7.11808e-4,6.93859e-4,7.02267e-4
SPpecb1,0.95,1.087263524350322,6.97187e-4,6.93857e-4,6.73837e-4,6.71062e-4,7.20753e-4,6.75414e-4,6.99559e-4,6.96965e-4,6.62299e-4,6.67675e-4
SPpecb1,0.8999999999999999,1.3276650759908049,6.71673e-4,7.01599e-4,6.92927e-4,7.06428e-4,6.86653e-4,6.99764e-4,6.92705e-4,6.92586e-4,6.98356e-4,6.89547e-4
SPpecb1,0.85,1.535991499112571,0.00166973,0.00166862,0.00160246,0.00172653,0.00172928,0.00175977,0.00172715,0.00172413,0.00169135,0.00167667
SPpecb1,0.7999999999999999,1.7331546579263086,0.00162344,0.00163363,0.001564,0.00162605,0.00170747,0.00171845,0.00169631,0.00167868,0.0016334,0.00154812
SPpecb1,0.75,1.9275543923863088,0.00169316,0.00168113,0.00157928,0.0016415,0.00163279,0.0016777,0.00162987,0.00163919,0.0016595,0.00162041
SPpecb1,0.7,2.1286250055645155,0.00164904,0.00175955,0.00173733,0.00173817,0.00163298,0.00159681,0.00172147,0.00166913,0.00169695,0.00170761
SPpecb1,0.6499999999999999,2.357077529380757,0.00162017,0.00167065,0.00170049,0.00165724,0.00166767,0.00166117,0.001683,0.00163092,0.00161196,0.00167653
SPpecb1,0.5999999999999999,2.5809710724591937,0.00178573,0.00163815,0.00179253,0.00156609,0.00165984,0.00169244,0.00173434,0.00162499,0.00166093,0.00172873
SPpecb1,0.5499999999999999,2.8265314113447566,0.0016918,0.00173725,0.0017144,0.0016548,0.00174767,0.00167467,0.0016605,0.00168955,0.00168707,0.0016568
SPpecb1,0.49999999999999994,3.1117533151347807,0.00179049,0.00171888,0.00174654,0.00176039,0.00176171,0.00175213,0.0017487100000000001,0.00175066,0.00173377,0.00180202
SPpecb1,0.45,3.4324881260449835,0.00175879,0.00172274,0.00183401,0.00177184,0.00181665,0.00180787,0.00173488,0.00178401,0.0017298,0.00174762
SPpecb1,0.3999999999999999,3.79924581622756,0.0017229,0.00173038,0.00177665,0.00176183,0.00168868,0.0017406,0.00180026,0.00175076,0.00178713,0.00175183
SPpecb1,0.34999999999999987,4.267678455732071,0.00188369,0.00177475,0.00174373,0.0017219,0.00178442,0.00177206,0.00175192,0.00178872,0.00182453,0.00179062
SPpecb1,0.29999999999999993,4.787131021136531,0.00170983,0.0017556,0.00184719,0.00185905,0.00180404,0.00178745,0.00184118,0.00178548,0.00180944,0.0018224
SPpecb1,0.2499999999999999,5.4662759970368615,0.00178942,0.00186178,0.00178279,0.00177885,0.0018513,0.00169903,0.00183891,0.00178844,0.00176613,0.00181712
SPpecb1,0.19999999999999996,6.367248832233686,0.00177552,0.00177535,0.00177372,0.001796,0.00176525,0.00175912,0.00177188,0.00179931,0.00173451,0.00178545
SPpecb1,0.1499999999999999,7.759211938563063,0.00174479,0.00176119,0.00178908,0.00172807,0.0017497,0.00177512,0.00173767,0.00176092,0.00171239,0.00176024
SPpecb1,0.09999999999999988,9.886448419605951,0.00173413,0.00174067,0.00172035,0.00167261,0.00172934,0.0017053,0.00171589,0.00176723,0.0017374,0.00172785
SPpecb1,0.05,14.75251392984291,0.00160685,0.00163326,0.00164812,0.00165363,0.00165891,0.00164586,0.00162705,0.00168303,0.00160963,0.00165266
