SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpei1,0.99,0.6478663597362359,0.00234556,0.00224683,0.00229811,0.00246403,0.00220894,0.00242395,0.00220042,0.00245735,0.00234076,0.00234941
SPpei1,0.95,0.9269854004539402,0.00242794,0.00248855,0.00233663,0.00234978,0.00238285,0.00236223,0.00236793,0.00234687,0.00224685,0.00233145
SPpei1,0.8999999999999999,1.1340286638685295,0.0024916,0.00240701,0.00227052,0.0024782,0.0024081,0.00210626,0.00223671,0.00252433,0.00242078,0.00225633
SPpei1,0.85,1.308211101526066,0.00242231,0.00247442,0.00240477,0.00239894,0.00241495,0.00243038,0.0025279,0.00260994,0.00241302,0.00257662
SPpei1,0.7999999999999999,1.4791630194136096,0.00657733,0.00639641,0.00643291,0.0065145,0.00602236,0.00619853,0.00642574,0.00651,0.00610359,0.00695807
SPpei1,0.75,1.6506474205942885,0.00653461,0.00645053,0.00642838,0.00639575,0.0060408,0.00631372,0.00574675,0.00603572,0.00621157,0.00687033
SPpei1,0.7,1.81876279965805,0.00607686,0.00635504,0.00632343,0.00672415,0.00627542,0.0064210100000000004,0.00636024,0.00672634,0.00657676,0.00607816
SPpei1,0.6499999999999999,2.007880038238176,0.00635002,0.00635964,0.00665082,0.00622355,0.00629279,0.00671708,0.00623836,0.00649075,0.00660384,0.0062572
SPpei1,0.5999999999999999,2.202308140996177,0.00647637,0.00640526,0.00651237,0.00665108,0.00623913,0.00608285,0.0064381,0.00631311,0.00675651,0.0066049
SPpei1,0.5499999999999999,2.41437994876317,0.00614297,0.00631376,0.00649262,0.00650015,0.00653541,0.00583495,0.0064125,0.00628527,0.00623354,0.00645939
SPpei1,0.49999999999999994,2.6582414059970025,0.00611399,0.00676006,0.00638297,0.00673867,0.00619129,0.0067239,0.00637605,0.00656331,0.00614786,0.00652907
SPpei1,0.45,2.9247453556638434,0.00610916,0.00609551,0.0051188,0.00612077,0.00623802,0.0059704,0.00548745,0.00554491,0.00605071,0.00553375
SPpei1,0.3999999999999999,3.2460217637446003,0.00544802,0.00576054,0.00548662,0.00607718,0.00590044,0.00615246,0.00589047,0.0063073,0.00631887,0.00599892
SPpei1,0.34999999999999987,3.6190560246729975,0.00583867,0.00570702,0.00522878,0.00612676,0.0061789,0.00613425,0.00592343,0.0059641,0.00565206,0.00596944
SPpei1,0.29999999999999993,4.075323749020616,0.00585889,0.00577717,0.00542698,0.00612831,0.00582738,0.00608062,0.00595055,0.00614499,0.00580743,0.00590838
SPpei1,0.2499999999999999,4.645021828601308,0.00518094,0.00510635,0.00490616,0.00505262,0.00538912,0.00540133,0.00504787,0.00559974,0.00527446,0.00510666
SPpei1,0.19999999999999996,5.41173585173415,0.00519537,0.00512558,0.00502399,0.0050092,0.005376,0.00567046,0.00535174,0.00508986,0.00490173,0.00539391
SPpei1,0.1499999999999999,6.580850301654081,0.00463785,0.00459121,0.00434586,0.00476096,0.00439464,0.00483204,0.00428736,0.00448725,0.00475336,0.00480098
SPpei1,0.09999999999999988,8.390582372119084,0.00408423,0.00409109,0.00430134,0.00397901,0.00404733,0.00421166,0.0043298,0.00407001,0.00394523,0.0045547
SPpei1,0.05,12.636719388536685,0.0033657,0.00325075,0.00333972,0.0034251,0.00337266,0.00325205,0.00331946,0.00320053,0.00320357,0.00317274
