SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesm6,0.99,0.5878853314272721,0.00207574,0.00197972,0.00196239,0.00204985,0.00228222,0.00215318,0.00197634,0.00219091,0.00190166,0.0018766
SPpesm6,0.95,0.8385268155573562,0.00201449,0.00207901,0.00210368,0.00221158,0.0020386,0.00207678,0.00224524,0.00205694,0.00222194,0.00208626
SPpesm6,0.8999999999999999,1.021187521088705,0.00217321,0.00209673,0.00226629,0.0022398,0.00212598,0.00201044,0.00229131,0.00206757,0.00221092,0.00207545
SPpesm6,0.85,1.1810944566522987,0.0019991,0.00226657,0.00211813,0.00216288,0.00185825,0.00209868,0.0021142,0.00200411,0.00216922,0.00205174
SPpesm6,0.7999999999999999,1.3386808947611315,0.00211064,0.00210615,0.00219978,0.00223621,0.00208266,0.00200607,0.00221906,0.00206632,0.00197922,0.00206051
SPpesm6,0.75,1.4891153966130906,0.00409542,0.00444977,0.00414718,0.00418371,0.00440029,0.00419178,0.00461358,0.00436649,0.00439296,0.00371682
SPpesm6,0.7,1.6444549508636694,0.00424717,0.00421743,0.00447902,0.00415883,0.00445505,0.0042149,0.00400501,0.00418955,0.00473574,0.00449569
SPpesm6,0.6499999999999999,1.8166486748351431,0.00394213,0.00408904,0.00487774,0.00382,0.00438952,0.0045041,0.00467828,0.0038399,0.00425906,0.00443192
SPpesm6,0.5999999999999999,1.9916873187142217,0.00415721,0.00418092,0.00374683,0.00448268,0.00389531,0.00448607,0.00412713,0.00419064,0.00439716,0.00464128
SPpesm6,0.5499999999999999,2.1925732984630595,0.00431311,0.00426683,0.00433966,0.00421261,0.00401395,0.00415625,0.0047324,0.0039172,0.00463519,0.00397326
SPpesm6,0.49999999999999994,2.4137785638889757,0.00415774,0.00442975,0.00387287,0.00401184,0.00363439,0.00419094,0.00404675,0.00405827,0.00398426,0.00452707
SPpesm6,0.45,2.6411411123210073,0.0037997,0.00462523,0.004258,0.00434752,0.00377923,0.00408993,0.00472512,0.00434869,0.00395429,0.00390621
SPpesm6,0.3999999999999999,2.9370449487214567,0.00386186,0.00284608,0.0031871,0.00352811,0.00300538,0.00323018,0.00376132,0.0030894,0.00387652,0.00330978
SPpesm6,0.34999999999999987,3.2817793331795366,0.00338864,0.00363727,0.00391948,0.00354992,0.00330728,0.00334082,0.00328562,0.0034587,0.00332575,0.00342694
SPpesm6,0.29999999999999993,3.695845585558113,0.00359394,0.00372263,0.00354732,0.00339115,0.00348243,0.00314628,0.00318016,0.00391215,0.00309622,0.00361399
SPpesm6,0.2499999999999999,4.225136404728826,0.00310703,0.0033177,0.00351633,0.00327406,0.00337012,0.00344744,0.00383924,0.00298927,0.00337058,0.00336256
SPpesm6,0.19999999999999996,4.919063339747801,0.00305809,0.0025484,0.00230367,0.00239444,0.00270592,0.0026743,0.00255379,0.00272862,0.00311442,0.00256706
SPpesm6,0.1499999999999999,5.945275268764707,0.00239184,0.00242209,0.00229919,0.00229738,0.0025368500000000002,0.00255324,0.0022925,0.00227,0.00227764,0.00241422
SPpesm6,0.09999999999999988,7.696073644184551,0.00199323,0.00216909,0.00221736,0.00213484,0.00238694,0.00212173,0.00218751,0.00230036,0.00205948,0.00213231
SPpesm6,0.05,11.41306156950647,0.00173002,0.00175653,0.00181856,0.00171987,0.00188281,0.00177538,0.00173932,0.0018588,0.00172748,0.00180621
