SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmA,0.99,0.6287937880664813,0.00169537,0.00171732,0.00179626,0.0015909,0.00195305,0.00176062,0.0017148,0.00172215,0.00153229,0.00159621
SPpesmA,0.95,0.885708823225754,0.00171861,0.00192373,0.00156637,0.00154771,0.0017556,0.00165258,0.0016049,0.00178895,0.00179571,0.00163881
SPpesmA,0.8999999999999999,1.0915256780213567,0.0016631,0.00166519,0.00187042,0.0017939,0.00155351,0.00174396,0.00193665,0.00171234,0.00169223,0.00200078
SPpesmA,0.85,1.265026418122034,0.00167737,0.00158762,0.00191077,0.00165422,0.00167119,0.0018108,0.00177886,0.001812,0.00168684,0.00179626
SPpesmA,0.7999999999999999,1.428748037229066,0.00435582,0.00463935,0.00446183,0.00484336,0.00454776,0.0044167,0.00537588,0.00465237,0.00424037,0.00396505
SPpesmA,0.75,1.5891128335216385,0.00452572,0.00476451,0.0045383,0.00423063,0.00506092,0.00465684,0.00434729,0.00531307,0.0047024,0.00421377
SPpesmA,0.7,1.7462792010865202,0.00413842,0.0051794,0.00456371,0.00458612,0.00455053,0.00407753,0.00483286,0.00458506,0.00442313,0.00489239
SPpesmA,0.6499999999999999,1.93303585612618,0.00408564,0.00516494,0.00442287,0.00423815,0.00437649,0.00444828,0.00459969,0.00441679,0.00473146,0.00473946
SPpesmA,0.5999999999999999,2.118461651240154,0.00446785,0.00448911,0.00455926,0.00465984,0.00452481,0.00427021,0.00458936,0.00439906,0.00475497,0.00401145
SPpesmA,0.5499999999999999,2.323588940498168,0.00538384,0.00468729,0.00464091,0.00434686,0.00501942,0.00495089,0.00482765,0.00471329,0.00447664,0.00461408
SPpesmA,0.49999999999999994,2.559855109692752,0.0039423,0.00448819,0.00410603,0.00496613,0.00418055,0.0044287,0.00491675,0.00465978,0.0052429,0.00423233
SPpesmA,0.45,2.807885091901672,0.00437259,0.00454509,0.00507319,0.00458489,0.00460237,0.00429969,0.00413314,0.0043726,0.00464797,0.00503117
SPpesmA,0.3999999999999999,3.1272275471300657,0.00424664,0.00418087,0.00448393,0.00413479,0.00441891,0.00421072,0.00388626,0.00431682,0.00386978,0.00406317
SPpesmA,0.34999999999999987,3.4864174479567085,0.0043198,0.00380055,0.00373409,0.00405795,0.00433174,0.00425041,0.0043469,0.00386316,0.00431131,0.00437882
SPpesmA,0.29999999999999993,3.934049628081027,0.00426305,0.00405287,0.0043971,0.0045949,0.00438749,0.00434839,0.00429111,0.00468076,0.00424352,0.00359008
SPpesmA,0.2499999999999999,4.483298581328067,0.00399676,0.0034739,0.00329493,0.00379927,0.00387413,0.00389796,0.00379141,0.00369834,0.00417027,0.00350733
SPpesmA,0.19999999999999996,5.218054487655377,0.00392801,0.003402,0.00349507,0.00385346,0.00335507,0.00361257,0.00338635,0.0035698,0.00360004,0.0035177
SPpesmA,0.1499999999999999,6.318430452976283,0.00321758,0.00314539,0.00344924,0.00322632,0.00306996,0.00301618,0.00312073,0.00310488,0.00386121,0.00311338
SPpesmA,0.09999999999999988,8.087689448525097,0.00279299,0.00288948,0.00305055,0.00273609,0.00287708,0.00294467,0.00302647,0.00304084,0.00292532,0.00289088
SPpesmA,0.05,12.234402662716558,0.00233564,0.00236514,0.00244466,0.00231636,0.00225628,0.00237539,0.00242205,0.00214848,0.00236749,0.00242331
