SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmB,0.99,0.7834104338504866,0.00775055,0.00713678,0.00753742,0.00653624,0.00755199,0.00671802,0.00650342,0.00733662,0.00698007,0.00726684
SPpesmB,0.95,1.1122350993824943,0.00747238,0.00695451,0.00782309,0.00687697,0.00685668,0.00681558,0.00678722,0.00734757,0.00638176,0.00730904
SPpesmB,0.8999999999999999,1.35588935182886,0.00730503,0.00726794,0.00734407,0.00741269,0.00689034,0.00702455,0.00734388,0.0071198,0.00630577,0.00771547
SPpesmB,0.85,1.5755621053244029,0.0195809,0.0189847,0.0189124,0.0209887,0.018196,0.0186285,0.0202903,0.0201624,0.0197366,0.0193221
SPpesmB,0.7999999999999999,1.7682115239566234,0.0188308,0.0182386,0.018237,0.0194944,0.0192033,0.0191456,0.0175661,0.0185661,0.0201884,0.0192667
SPpesmB,0.75,1.9729446778006812,0.0190543,0.019175,0.0189524,0.019133,0.0180145,0.0196357,0.0188888,0.0194343,0.0195368,0.01833
SPpesmB,0.7,2.173205841102641,0.0185071,0.0200809,0.019367,0.0189067,0.0185256,0.0194593,0.0201108,0.018955,0.0192032,0.0199004
SPpesmB,0.6499999999999999,2.402933591758814,0.018988,0.0198645,0.0191299,0.0197168,0.0185631,0.0195626,0.0197318,0.0165379,0.0200994,0.018506
SPpesmB,0.5999999999999999,2.6299913562606645,0.0198942,0.0196412,0.0178397,0.0201572,0.0216077,0.0187947,0.0187394,0.0196052,0.0183256,0.0191041
SPpesmB,0.5499999999999999,2.8956994483743803,0.0173062,0.0169039,0.0170746,0.0163221,0.0157707,0.0159207,0.015743299999999998,0.0160927,0.0184435,0.0159586
SPpesmB,0.49999999999999994,3.1930070499017416,0.0187791,0.0162649,0.0167027,0.0166095,0.0200223,0.0161812,0.0148237,0.0166053,0.0155811,0.01551
SPpesmB,0.45,3.517407733303672,0.0160145,0.0173088,0.0160486,0.0179347,0.0156734,0.0168511,0.016442,0.0171465,0.0154788,0.016425
SPpesmB,0.3999999999999999,3.9069149094106144,0.0141912,0.017629,0.0180501,0.0151079,0.0181498,0.0175282,0.0154427,0.0160335,0.017743600000000002,0.0161381
SPpesmB,0.34999999999999987,4.321477645949981,0.0124629,0.0134077,0.0133585,0.0147386,0.0127205,0.0134549,0.0156494,0.0112695,0.0119464,0.0142185
SPpesmB,0.29999999999999993,4.914754602124129,0.0112635,0.0119574,0.0117623,0.0122859,0.0117642,0.013001,0.0114751,0.0130995,0.0140008,0.011595
SPpesmB,0.2499999999999999,5.565088091993001,0.0131174,0.0109418,0.0120543,0.0118091,0.0139695,0.0137524,0.0128061,0.0134779,0.0126079,0.0127021
SPpesmB,0.19999999999999996,6.5590512154175835,0.0100392,0.00945296,0.00846836,0.0106261,0.00885601,0.0100645,0.00979027,0.0102164,0.0100064,0.00940125
SPpesmB,0.1499999999999999,7.77669644816568,0.00733569,0.00720412,0.00679791,0.00646255,0.00683135,0.00716552,0.00851428,0.00791894,0.0084394,0.00762314
SPpesmB,0.09999999999999988,10.089549081348428,0.00550059,0.00542734,0.00559075,0.00561919,0.00551025,0.00540471,0.00549443,0.00543121,0.00577624,0.00566078
SPpesmB,0.05,15.26931813468496,0.00436842,0.00468563,0.00440337,0.00472857,0.00490277,0.00468071,0.00477996,0.00479463,0.00455175,0.00468785
