SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmC,0.99,0.7646418960090502,0.00661862,0.00691057,0.00640473,0.00640473,0.00627617,0.00649185,0.00669826,0.00638471,0.00651978,0.00651978
SPpesmC,0.95,1.083130800953774,0.00617542,0.00615764,0.00651143,0.00651143,0.00610009,0.00659678,0.0069444,0.00601858,0.00601858,0.0066215
SPpesmC,0.8999999999999999,1.3440861841319474,0.0061527,0.00673252,0.00673252,0.00633802,0.00644163,0.00634873,0.00674468,0.0058573,0.00629116,0.00629116
SPpesmC,0.85,1.5381839988265007,0.0184657,0.0174825,0.0170489,0.0170489,0.017823,0.0159612,0.0159612,0.0188416,0.0176679,0.0175782
SPpesmC,0.7999999999999999,1.7375952808010726,0.0177925,0.0177925,0.0184037,0.018376,0.0175518,0.0188009,0.0166358,0.0166358,0.0184405,0.0185488
SPpesmC,0.75,1.9436607030202235,0.0185488,0.0177252,0.0176155,0.0176155,0.01691,0.01691,0.0177938,0.0187346,0.0187346,0.0175976
SPpesmC,0.7,2.1335112008433614,0.0188462,0.0188462,0.0176523,0.0169071,0.0169071,0.0171043,0.0181343,0.0189875,0.0169638,0.0169638
SPpesmC,0.6499999999999999,2.3562625200596283,0.0168572,0.0167798,0.0165801,0.0168769,0.0168769,0.017254,0.0182826,0.0182826,0.0166213,0.0178304
SPpesmC,0.5999999999999999,2.5811348454640255,0.0170667,0.0164863,0.0164863,0.0183868,0.017046,0.0171852,0.0185288,0.0185288,0.0184593,0.0168595
SPpesmC,0.5499999999999999,2.839457272399362,0.015062,0.0160013,0.0149615,0.0145752,0.0165409,0.0165409,0.0160757,0.0151559,0.0151559,0.0153083
SPpesmC,0.49999999999999994,3.122556980263876,0.0144708,0.0176067,0.0151042,0.0151042,0.0143767,0.0159315,0.0152751,0.0152751,0.0162655,0.0153545
SPpesmC,0.45,3.44766399810242,0.0153545,0.0155662,0.0149806,0.0153915,0.0153915,0.0153129,0.0149596,0.0144429,0.0144429,0.0158476
SPpesmC,0.3999999999999999,3.818138923105266,0.0141692,0.0156104,0.0149719,0.0149719,0.0149021,0.0148206,0.0148206,0.0157697,0.0150145,0.015036
SPpesmC,0.34999999999999987,4.272194737579097,0.0102028,0.0113763,0.0128506,0.0117362,0.0124356,0.0124356,0.0132914,0.0124016,0.0124016,0.0112832
SPpesmC,0.29999999999999993,4.793697131398766,0.0127933,0.0126492,0.0111467,0.0111467,0.0118096,0.01172,0.01172,0.0113175,0.0134941,0.01173
SPpesmC,0.2499999999999999,5.48675464996954,0.0117184,0.012323,0.012323,0.0125557,0.0117559,0.012313,0.012313,0.0133893,0.0141385,0.0124964
SPpesmC,0.19999999999999996,6.401235156163912,0.0084674,0.00787428,0.00929332,0.00836936,0.00929159,0.00929159,0.00768731,0.00994529,0.00920849,0.00920849
SPpesmC,0.1499999999999999,7.723427597431248,0.00761647,0.00769533,0.00657801,0.00657801,0.00723315,0.00644341,0.00687557,0.00721132,0.00721132,0.00767909
SPpesmC,0.09999999999999988,10.019336550342688,0.00541745,0.00557677,0.00557677,0.00492762,0.0052446,0.00548853,0.00548853,0.00533047,0.00534941,0.00521607
SPpesmC,0.05,14.807213244659769,0.0044962,0.0041236,0.00416004,0.00426415,0.00445009,0.00445009,0.00427364,0.00421284,0.00450815,0.00443256
