SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmD,0.99,0.7209066296159362,0.00709694,0.00692679,0.00692679,0.00653244,0.00753335,0.00649261,0.00690188,0.00729921,0.00778291,0.00671747
SPpesmD,0.95,1.0119444997878788,0.00734079,0.00693827,0.0068585,0.00677367,0.00718802,0.00771047,0.00698945,0.00692411,0.00735089,0.00735089
SPpesmD,0.8999999999999999,1.2473085660343513,0.0068422,0.00663227,0.00632409,0.00747947,0.00732472,0.00716853,0.00728877,0.00790771,0.00682717,0.00778613
SPpesmD,0.85,1.4474053380592071,0.0190206,0.0174617,0.0174617,0.0181182,0.0183516,0.0183516,0.0204893,0.0203659,0.0187151,0.0189062
SPpesmD,0.7999999999999999,1.6250486769824737,0.0203251,0.0188539,0.0195549,0.0195614,0.0181914,0.0194413,0.0183575,0.0181778,0.0187811,0.0187811
SPpesmD,0.75,1.803162157580848,0.0200837,0.0198637,0.0186867,0.018171,0.020836,0.020836,0.0196645,0.0185627,0.0202969,0.019932
SPpesmD,0.7,2.0058815468092615,0.019932,0.018565,0.0181494,0.020131,0.0202713,0.0202713,0.0200239,0.0194625,0.0192022,0.0186827
SPpesmD,0.6499999999999999,2.203580571609502,0.0186827,0.0189223,0.0189415,0.020009,0.0184225,0.0167108,0.0203339,0.0184716,0.0184716,0.0201499
SPpesmD,0.5999999999999999,2.4180442736772334,0.0202601,0.0184323,0.0184323,0.0190226,0.0185189,0.0187806,0.018033,0.018033,0.0191995,0.0190896
SPpesmD,0.5499999999999999,2.6685544933044505,0.0204513,0.0191805,0.0191805,0.0198017,0.0193234,0.0189162,0.0206754,0.0206754,0.0184811,0.0204343
SPpesmD,0.49999999999999994,2.921268464807206,0.0173811,0.01804,0.01804,0.0180266,0.0168614,0.0159385,0.0159385,0.0174974,0.0165501,0.0179729
SPpesmD,0.45,3.2127869971837253,0.0175253,0.0175253,0.0164343,0.0169259,0.0186643,0.016193,0.016193,0.0175389,0.0170026,0.016573
SPpesmD,0.3999999999999999,3.576883483065641,0.0176556,0.0176556,0.0166115,0.0163984,0.0182765,0.0159194,0.0159194,0.0176494,0.0170513,0.0154882
SPpesmD,0.34999999999999987,3.982041885107766,0.0154882,0.0176178,0.0162252,0.0159525,0.0169206,0.0146613,0.0146613,0.0171903,0.0173385,0.0160381
SPpesmD,0.29999999999999993,4.49566948196951,0.0126778,0.0126778,0.0141835,0.0132562,0.011808,0.0146632,0.0146632,0.0152736,0.0132368,0.0121136
SPpesmD,0.2499999999999999,5.105799875107936,0.0125153,0.0131366,0.0131366,0.0139511,0.012409,0.0123324,0.0123324,0.0147204,0.0143014,0.0127502
SPpesmD,0.19999999999999996,5.982372915648754,0.00959012,0.0107989,0.0107989,0.010616,0.0109436,0.0113513,0.00976103,0.00976103,0.00939302,0.0119302
SPpesmD,0.1499999999999999,7.245772337106206,0.0079519,0.00873201,0.00839267,0.00839267,0.00821039,0.00702975,0.00873448,0.00745854,0.00725711,0.0086385
SPpesmD,0.09999999999999988,9.241622298209984,0.00687428,0.006465,0.00672614,0.00659472,0.00641658,0.00641658,0.00561917,0.00602956,0.00635363,0.00638157
SPpesmD,0.05,14.001702050359558,0.00529935,0.00529935,0.00482805,0.0050401,0.00504257,0.00542889,0.00463981,0.00491613,0.00491613,0.00479358
