SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmE,0.99,0.7369659838062312,0.00634666,0.00590782,0.00685047,0.00629394,0.0063185,0.00597434,0.00647913,0.00699848,0.00671816,0.00678043
SPpesmE,0.95,1.0263467975766218,0.0060114,0.0065885,0.00631961,0.00621811,0.00648721,0.00622079,0.00631401,0.00626701,0.0062973,0.00589864
SPpesmE,0.8999999999999999,1.2682407794193271,0.00569081,0.00680881,0.00635124,0.00630535,0.00625603,0.00576754,0.00684487,0.00619512,0.00626448,0.00615557
SPpesmE,0.85,1.4632033954212549,0.0162272,0.0168194,0.0171154,0.016028,0.0176445,0.0169593,0.0175592,0.0179458,0.0170128,0.0176402
SPpesmE,0.7999999999999999,1.6577233781706966,0.0174234,0.0163822,0.017613,0.0175204,0.0182535,0.0170513,0.0171544,0.0165866,0.0187638,0.0165174
SPpesmE,0.75,1.8354867153127947,0.0191032,0.015943,0.0173269,0.0177221,0.0171159,0.0154516,0.0177698,0.017137,0.0163888,0.0174559
SPpesmE,0.7,2.0357101338035535,0.0164253,0.017451500000000002,0.0179117,0.0181778,0.0166783,0.0181358,0.0158913,0.0182865,0.0168755,0.0180882
SPpesmE,0.6499999999999999,2.2419725675087583,0.0174943,0.0159344,0.0176603,0.0180681,0.0188098,0.0182007,0.0168459,0.0160711,0.0170156,0.0173028
SPpesmE,0.5999999999999999,2.4469806234551426,0.0184478,0.0174065,0.0173467,0.0177859,0.0175678,0.0185034,0.0169354,0.0175009,0.01788,0.0170142
SPpesmE,0.5499999999999999,2.711748846516814,0.0179167,0.0173699,0.0176798,0.0170257,0.0170959,0.0185008,0.0184219,0.0176688,0.017029,0.0181278
SPpesmE,0.49999999999999994,2.9896168037878157,0.0149713,0.0154695,0.0153539,0.0154512,0.0135477,0.0148064,0.0150596,0.015869,0.016569,0.0141639
SPpesmE,0.45,3.2968861774824925,0.0137405,0.0140573,0.0149119,0.0173999,0.014434,0.0159345,0.0150317,0.015929,0.0143308,0.0140878
SPpesmE,0.3999999999999999,3.639205978869343,0.0150221,0.0132833,0.0161043,0.0159323,0.0144066,0.0142891,0.0153545,0.0156491,0.0156128,0.0148878
SPpesmE,0.34999999999999987,4.051098110551136,0.0150638,0.0143558,0.0151981,0.0131922,0.0155156,0.0144066,0.0137196,0.0149001,0.0148871,0.014974
SPpesmE,0.29999999999999993,4.576988098102931,0.0118784,0.0130886,0.011953,0.0121203,0.0111639,0.0129709,0.0127794,0.0110584,0.0113081,0.0115455
SPpesmE,0.2499999999999999,5.221389429763135,0.0113558,0.012347,0.0119263,0.0112268,0.0117794,0.0117675,0.0123016,0.0127101,0.0110593,0.0122492
SPpesmE,0.19999999999999996,6.073946853471578,0.00913193,0.00816383,0.0086249,0.00905004,0.00859412,0.00899987,0.00891322,0.00766914,0.00947765,0.00791209
SPpesmE,0.1499999999999999,7.304745527519335,0.00728951,0.00650936,0.00680435,0.00666282,0.00704201,0.00637743,0.00644776,0.00753777,0.00662201,0.00716461
SPpesmE,0.09999999999999988,9.447279086801064,0.00621922,0.00570716,0.00528189,0.00620338,0.00558835,0.00624162,0.0054634,0.00508151,0.00668894,0.00593732
SPpesmE,0.05,14.013097493378195,0.00438539,0.00431134,0.00446723,0.00469192,0.0049275,0.00455748,0.0050536,0.00482408,0.00444765,0.00458255
