SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmF,0.99,0.6952711819983896,0.00324355,0.00302822,0.00292769,0.00312619,0.00311684,0.00332087,0.00318516,0.00330935,0.00362556,0.00330651
SPpesmF,0.95,0.979414685531142,0.00260739,0.00306935,0.00307234,0.00298085,0.00318147,0.00308244,0.00327366,0.00312757,0.0031869,0.00305326
SPpesmF,0.8999999999999999,1.2035890221914392,0.00309686,0.00351984,0.0029838,0.00320589,0.00321044,0.00306521,0.00301693,0.00299377,0.00332244,0.00306529
SPpesmF,0.85,1.3810262730542209,0.00285383,0.00307062,0.00323531,0.00293114,0.00317885,0.00313443,0.0029396,0.00305308,0.00288847,0.00360657
SPpesmF,0.7999999999999999,1.5678698144868817,0.00822225,0.00926582,0.00818447,0.00876958,0.00835701,0.00834521,0.0088023,0.00935921,0.00811939,0.00966394
SPpesmF,0.75,1.7496070510433377,0.00875703,0.00931541,0.00841565,0.00922734,0.0090706,0.00822167,0.00917457,0.00954154,0.00910783,0.00851178
SPpesmF,0.7,1.933158517276599,0.00837893,0.00872275,0.00903552,0.00854071,0.00796074,0.00781814,0.00852782,0.00893728,0.00891958,0.00905856
SPpesmF,0.6499999999999999,2.126261858840205,0.00814633,0.0089946,0.00838528,0.00862559,0.0090852,0.00803489,0.0092323,0.00826916,0.00850226,0.00855871
SPpesmF,0.5999999999999999,2.3327036294249828,0.00807609,0.00838353,0.00934851,0.0083433,0.00900133,0.00871387,0.00835556,0.0085557,0.00875071,0.00898962
SPpesmF,0.5499999999999999,2.555198615615061,0.0078885,0.00828073,0.00846123,0.00834259,0.00950928,0.00815885,0.00838664,0.00944533,0.00946061,0.00836312
SPpesmF,0.49999999999999994,2.8155855947261523,0.00929195,0.00844684,0.0087127,0.00915644,0.0082732,0.00847253,0.00851752,0.008712,0.00919221,0.00846723
SPpesmF,0.45,3.0987592614286346,0.00768436,0.00836281,0.00690354,0.00745712,0.00706306,0.00736631,0.00717439,0.00696212,0.00774846,0.00722708
SPpesmF,0.3999999999999999,3.434874469552011,0.00798825,0.00760023,0.00773008,0.00715064,0.00755184,0.00740194,0.00782045,0.00732662,0.00711559,0.00828482
SPpesmF,0.34999999999999987,3.8655220574689526,0.00755655,0.0067136,0.00740241,0.00739216,0.00709488,0.00749888,0.0072072,0.00627407,0.00722979,0.00737018
SPpesmF,0.29999999999999993,4.327673742212972,0.00575331,0.00563413,0.0052467,0.00496344,0.00537634,0.00537435,0.0052074,0.00561457,0.00571999,0.00532021
SPpesmF,0.2499999999999999,4.953942641809702,0.00571901,0.00580015,0.00503279,0.00508097,0.00513078,0.00535259,0.00491411,0.00599678,0.00477959,0.0057961
SPpesmF,0.19999999999999996,5.735338255960019,0.00405581,0.00415486,0.00429629,0.00376617,0.0040504,0.00401231,0.00435124,0.00445547,0.00410669,0.00403455
SPpesmF,0.1499999999999999,6.981128417612454,0.00434299,0.00433492,0.00466303,0.00405863,0.00406321,0.0044764,0.00413982,0.00409807,0.00434656,0.00469141
SPpesmF,0.09999999999999988,9.03190296187952,0.00332709,0.00309503,0.00326052,0.00338346,0.00316787,0.00341385,0.0035405,0.00324598,0.00335715,0.0034838
SPpesmF,0.05,13.444677597276288,0.00304509,0.00285238,0.00295622,0.00269187,0.00277309,0.00276131,0.00278917,0.00278743,0.00284175,0.00288079
