SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmH,0.99,0.652677264306507,0.00575225,0.00521539,0.005123,0.0053565,0.00512382,0.00575419,0.00494463,0.00519666,0.00510055,0.00508023
SPpesmH,0.95,0.9295927600453768,0.00499297,0.00514125,0.00529311,0.00534436,0.00539867,0.00512564,0.00502465,0.00540918,0.0051406,0.00544227
SPpesmH,0.8999999999999999,1.141367264322149,0.00524468,0.0051619,0.00485467,0.00491673,0.00513918,0.00512032,0.00507967,0.00513399,0.00512627,0.00522283
SPpesmH,0.85,1.3200560515009443,0.0054858,0.00509749,0.00527513,0.00508374,0.00507639,0.00514493,0.00523605,0.00501445,0.00531578,0.00456432
SPpesmH,0.7999999999999999,1.50178297980963,0.0152217,0.0137588,0.0145031,0.0150202,0.0133417,0.0139495,0.0144731,0.0127882,0.0156753,0.0141752
SPpesmH,0.75,1.6711090517969789,0.0145196,0.0145142,0.0146341,0.0145312,0.0148144,0.0143813,0.0139147,0.0139,0.0147196,0.0141838
SPpesmH,0.7,1.8429985133497375,0.0148166,0.0138416,0.0146972,0.0144496,0.0148196,0.0129325,0.015877,0.0130975,0.0139557,0.0139356
SPpesmH,0.6499999999999999,2.01974591886772,0.0155057,0.0139313,0.0147435,0.0147001,0.014326,0.014424,0.014586,0.0134671,0.0127028,0.0131186
SPpesmH,0.5999999999999999,2.218480435041346,0.013624,0.0143578,0.0136215,0.0140089,0.0139315,0.0152299,0.0141229,0.0147291,0.0147396,0.0144346
SPpesmH,0.5499999999999999,2.442793025283409,0.0132711,0.013783,0.0139599,0.0137436,0.0142233,0.0150568,0.0130306,0.0153993,0.0154323,0.0142084
SPpesmH,0.49999999999999994,2.6663117270733676,0.0135119,0.012897,0.014574,0.0140709,0.0147081,0.0147385,0.0139914,0.0145287,0.0140668,0.0146917
SPpesmH,0.45,2.9354958412435814,0.0131698,0.0118139,0.0122083,0.0127894,0.0119982,0.011446,0.0126122,0.0126315,0.0116918,0.0117617
SPpesmH,0.3999999999999999,3.263477976889185,0.0115953,0.0130538,0.0117428,0.012969,0.0122016,0.0121853,0.012042,0.0117192,0.0127193,0.0130136
SPpesmH,0.34999999999999987,3.648974754752006,0.0123361,0.0124123,0.0133771,0.0121133,0.0123185,0.011343,0.0119361,0.0131278,0.0122342,0.0120039
SPpesmH,0.29999999999999993,4.097944098968564,0.0124795,0.0116547,0.0114651,0.0126947,0.011462,0.0120623,0.0122513,0.0115232,0.0123893,0.0119989
SPpesmH,0.2499999999999999,4.708182453449351,0.0103933,0.00952133,0.00961665,0.00915414,0.0101719,0.0102456,0.0108373,0.00920632,0.0096344,0.00949095
SPpesmH,0.19999999999999996,5.473661803258037,0.0117899,0.0101813,0.0102415,0.00912816,0.0101694,0.00932216,0.0105126,0.0099542,0.0102381,0.0102798
SPpesmH,0.1499999999999999,6.597852348246238,0.00745,0.00788627,0.00697151,0.00812428,0.00712324,0.00748967,0.00713039,0.00832284,0.00681696,0.00716072
SPpesmH,0.09999999999999988,8.494577323835776,0.00593748,0.00522159,0.00505417,0.0050606,0.00526161,0.0055149,0.00552386,0.00526445,0.00571898,0.00510475
SPpesmH,0.05,12.79013550159081,0.00402294,0.00411795,0.00396181,0.00434075,0.00408982,0.00401788,0.0039909,0.00396808,0.00419629,0.00405813
