SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmI,0.99,0.572543494817949,0.00572506,0.00561423,0.00566975,0.00546597,0.00608691,0.00580959,0.00567839,0.00566468,0.00567155,0.00630433
SPpesmI,0.95,0.8163441836880085,0.00601874,0.00633416,0.00551587,0.00551955,0.00568178,0.00537283,0.0058812,0.00571807,0.00546526,0.0057671
SPpesmI,0.8999999999999999,0.9937558217403184,0.00582054,0.00581998,0.00554791,0.00576955,0.00553245,0.00568397,0.00582614,0.00567059,0.00613201,0.00621408
SPpesmI,0.85,1.1509143232007029,0.00551761,0.00585115,0.00566763,0.00584527,0.0055061,0.00560341,0.00575283,0.00560492,0.00572447,0.00571418
SPpesmI,0.7999999999999999,1.304324093936933,0.00591935,0.00554153,0.00547987,0.0061627,0.00535263,0.00594095,0.00569816,0.00581864,0.00593225,0.00562465
SPpesmI,0.75,1.4516570540763356,0.0165178,0.0151892,0.0156716,0.0155938,0.0160846,0.0154645,0.0157838,0.0156006,0.0161712,0.0155546
SPpesmI,0.7,1.5988964694897656,0.0157737,0.015346,0.0149909,0.0151402,0.0161491,0.0148841,0.0151724,0.0158416,0.0150263,0.0158441
SPpesmI,0.6499999999999999,1.775339200689055,0.0157451,0.0164646,0.0162064,0.0163998,0.0167776,0.0159228,0.0147346,0.0160068,0.0153671,0.0164883
SPpesmI,0.5999999999999999,1.9318695111646285,0.0149755,0.0156099,0.0161879,0.0152529,0.0158137,0.0159622,0.0162341,0.0154607,0.0148857,0.0161483
SPpesmI,0.5499999999999999,2.126347208690382,0.015127,0.0167016,0.0159194,0.0166385,0.0156321,0.0148137,0.0155095,0.0151252,0.0158154,0.0161445
SPpesmI,0.49999999999999994,2.3405317750964345,0.0160269,0.0153203,0.0147764,0.0154214,0.0158338,0.0160715,0.0148259,0.0163137,0.0155651,0.01556
SPpesmI,0.45,2.5798384136584915,0.0154394,0.0160072,0.0161587,0.0155106,0.0149537,0.0170592,0.015763,0.0145774,0.0148463,0.0153278
SPpesmI,0.3999999999999999,2.8817661061530737,0.0137031,0.0147186,0.0143238,0.0145722,0.0131525,0.0149303,0.0147846,0.0147157,0.0132934,0.013846
SPpesmI,0.34999999999999987,3.2020038783004976,0.0144947,0.0136356,0.0133282,0.0134953,0.0141381,0.0139258,0.0142477,0.0132293,0.0142146,0.0136947
SPpesmI,0.29999999999999993,3.6035491210312407,0.0140475,0.0137174,0.0150257,0.0132599,0.0128477,0.0146723,0.0137957,0.0147035,0.0138314,0.0140964
SPpesmI,0.2499999999999999,4.127346255344478,0.0144882,0.0151066,0.014376,0.014694,0.0134541,0.0130878,0.01323,0.0147478,0.0140004,0.0147821
SPpesmI,0.19999999999999996,4.781567002702448,0.0121924,0.0114669,0.0120179,0.0101114,0.0106361,0.0126096,0.0111605,0.0113254,0.0118006,0.0121077
SPpesmI,0.1499999999999999,5.813530544771631,0.00898651,0.00898435,0.0096202,0.0094496,0.0103434,0.00969067,0.0088057,0.0089562,0.00941655,0.00881964
SPpesmI,0.09999999999999988,7.460163803336576,0.00792136,0.00806267,0.00737108,0.0069743,0.00682411,0.00664876,0.00794336,0.00770996,0.00724997,0.00735811
SPpesmI,0.05,11.235710538321696,0.0055472,0.00501402,0.00544562,0.00556054,0.00510124,0.00537955,0.00596518,0.00559041,0.00495055,0.00541854
