SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmJ,0.99,0.6056361525988188,0.00651171,0.00728019,0.00667184,0.00665981,0.00673204,0.00671453,0.00704493,0.00665981,0.00715352,0.00702333
SPpesmJ,0.95,0.8508365850967129,0.00696016,0.00642318,0.00657466,0.00604874,0.00727078,0.0072828,0.00663969,0.00667063,0.0066658,0.00663579
SPpesmJ,0.8999999999999999,1.04758982647375,0.00695247,0.00674244,0.00690857,0.00699403,0.00640615,0.00650598,0.00646786,0.0071435,0.00666553,0.00664584
SPpesmJ,0.85,1.2108913598908242,0.00680587,0.00703402,0.00642854,0.00671493,0.00649287,0.00683569,0.00657184,0.00693273,0.00644915,0.00657112
SPpesmJ,0.7999999999999999,1.3618033131716267,0.00686054,0.00717423,0.00716615,0.00691745,0.00642075,0.00723541,0.0064963,0.00692525,0.00665602,0.00664259
SPpesmJ,0.75,1.5264923672665889,0.018453,0.0184546,0.0192376,0.0167658,0.0186763,0.0184374,0.0177578,0.0184968,0.0191755,0.0186599
SPpesmJ,0.7,1.677244380317959,0.0187995,0.0180273,0.0181327,0.0190949,0.0183169,0.0173373,0.0192212,0.0182463,0.0189024,0.0175898
SPpesmJ,0.6499999999999999,1.8476682557011468,0.0181101,0.0189113,0.0186558,0.0187499,0.0186431,0.0188828,0.0187949,0.0179972,0.0188703,0.0177556
SPpesmJ,0.5999999999999999,2.0370107913241715,0.0188412,0.0173703,0.0181769,0.0184799,0.0183586,0.0183543,0.0181995,0.0177309,0.0179774,0.0182933
SPpesmJ,0.5499999999999999,2.2263834727770284,0.0186497,0.0171683,0.0188705,0.0193018,0.0186317,0.0181377,0.0190203,0.0174328,0.0179073,0.0171664
SPpesmJ,0.49999999999999994,2.450674891780226,0.0185102,0.0181116,0.017943,0.0172023,0.0177378,0.0176419,0.0174452,0.0191336,0.0177137,0.0166663
SPpesmJ,0.45,2.708334408202669,0.0184358,0.0189619,0.0190719,0.0194025,0.0172616,0.0177081,0.0174664,0.0191142,0.0179524,0.0179304
SPpesmJ,0.3999999999999999,3.0244505209878345,0.0172358,0.0163535,0.0171007,0.0170982,0.0173857,0.0166007,0.0179081,0.0176152,0.0164366,0.014947
SPpesmJ,0.34999999999999987,3.3527080950257595,0.0163274,0.0158656,0.0162805,0.0163978,0.0162085,0.0169177,0.0162851,0.0166608,0.016646,0.0154345
SPpesmJ,0.29999999999999993,3.778927701694256,0.017976,0.0162696,0.0164737,0.0166266,0.0175212,0.015352,0.0169939,0.0152032,0.0158989,0.0165632
SPpesmJ,0.2499999999999999,4.300014481788247,0.0134713,0.0136821,0.0153611,0.0140731,0.0142925,0.0144592,0.0124581,0.0142903,0.0143891,0.0139437
SPpesmJ,0.19999999999999996,5.019985497519608,0.0133333,0.0131839,0.0137082,0.0130608,0.0143282,0.0135631,0.0146538,0.014121,0.012506,0.0142967
SPpesmJ,0.1499999999999999,6.115965327968555,0.0104225,0.0104226,0.0103548,0.0107523,0.0119961,0.0113324,0.010737,0.0101957,0.011084,0.00957688
SPpesmJ,0.09999999999999988,7.781928944552674,0.0081512,0.00820453,0.00855023,0.00829897,0.00848667,0.00829284,0.00859697,0.00930941,0.00838162,0.00848978
SPpesmJ,0.05,11.74756203571924,0.00586359,0.00552207,0.00564812,0.00594748,0.00556332,0.00559804,0.00615951,0.00595423,0.00546508,0.00550977
