SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmK,0.99,0.5947139567142625,0.00592728,0.00585796,0.00534684,0.00555347,0.00539303,0.00582704,0.00549484,0.0052875,0.00583292,0.0056969
SPpesmK,0.95,0.8415023263131416,0.00551969,0.00554186,0.00591794,0.00570514,0.00557678,0.00628275,0.00537137,0.00502753,0.005637,0.00552155
SPpesmK,0.8999999999999999,1.027630081658915,0.00610711,0.0056934,0.00591754,0.00536711,0.00519687,0.00566383,0.00562108,0.00529003,0.00566368,0.00592894
SPpesmK,0.85,1.1955383805423347,0.0058457,0.00543582,0.00551471,0.00581258,0.00572769,0.00607151,0.00567877,0.00589268,0.00568445,0.00556019
SPpesmK,0.7999999999999999,1.3450317826908773,0.00564769,0.00586584,0.00554222,0.00541967,0.00545086,0.0056295,0.00531535,0.00607778,0.00573914,0.00551591
SPpesmK,0.75,1.5045653766088134,0.0155885,0.0159192,0.015814,0.0151604,0.0163434,0.0152297,0.0149552,0.0142315,0.0156586,0.014655
SPpesmK,0.7,1.6652505138208136,0.0153741,0.01543,0.015522,0.0169104,0.0160581,0.0148203,0.015837,0.0156532,0.0153344,0.0157452
SPpesmK,0.6499999999999999,1.8306721364800176,0.0147356,0.0150721,0.0157159,0.0142745,0.0164055,0.0160581,0.0153631,0.014693,0.0148947,0.0152067
SPpesmK,0.5999999999999999,2.013929547728416,0.0143505,0.0154678,0.0161363,0.0156848,0.0152199,0.0150625,0.01616,0.0158335,0.0163301,0.0148684
SPpesmK,0.5499999999999999,2.2071331227598656,0.015194,0.0159603,0.0149737,0.0163582,0.0164281,0.0149116,0.0162903,0.0160846,0.0153252,0.0155786
SPpesmK,0.49999999999999994,2.4295542904302785,0.0141821,0.0145869,0.0159617,0.0159303,0.0145559,0.0151688,0.0157844,0.0161344,0.0159719,0.0159364
SPpesmK,0.45,2.6816166329091904,0.0158572,0.0153233,0.0160039,0.0154758,0.0156648,0.0160414,0.0149582,0.0156351,0.0160394,0.0151529
SPpesmK,0.3999999999999999,2.9534971400965966,0.0129916,0.0136864,0.01369,0.0128492,0.0133254,0.0130039,0.0129486,0.0140653,0.0127491,0.0130262
SPpesmK,0.34999999999999987,3.294129180516657,0.0134413,0.0140818,0.0131527,0.0138162,0.013193,0.0145177,0.0142263,0.0136655,0.013639,0.0141201
SPpesmK,0.29999999999999993,3.718523313033987,0.0141353,0.0142645,0.0135311,0.0139691,0.0143123,0.014126,0.0129539,0.0143492,0.0146114,0.0134898
SPpesmK,0.2499999999999999,4.262335118937896,0.0113287,0.0110394,0.012316,0.0112902,0.0113144,0.0101667,0.0121487,0.0110315,0.0110294,0.0122506
SPpesmK,0.19999999999999996,4.990489862745688,0.00989463,0.0117825,0.0112772,0.0107466,0.0105457,0.0126923,0.0108924,0.0117356,0.0120962,0.0114321
SPpesmK,0.1499999999999999,6.003259233320129,0.00931149,0.008587,0.0089728,0.00918361,0.00922731,0.00860932,0.00858288,0.00851145,0.00790118,0.00840505
SPpesmK,0.09999999999999988,7.706568401615523,0.00747354,0.00733119,0.00731722,0.00707967,0.00701401,0.00736253,0.00665142,0.00655352,0.00672607,0.00712154
SPpesmK,0.05,11.652510855766259,0.00475845,0.00489518,0.00489531,0.00495935,0.00470696,0.00516629,0.00510535,0.00461181,0.00496403,0.00487747
