SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmL,0.99,0.6427598962148736,0.00635153,0.00631931,0.00576391,0.00586703,0.0061749,0.00608675,0.00570158,0.0066274,0.00612176,0.006619
SPpesmL,0.95,0.912294307043547,0.00570916,0.00698095,0.00613708,0.0063775,0.0059554,0.00679586,0.00585464,0.00600297,0.00640889,0.0065185
SPpesmL,0.8999999999999999,1.1162654263863108,0.00589605,0.00634461,0.00603775,0.00614632,0.00614078,0.00642123,0.00578898,0.00640503,0.00592316,0.00613458
SPpesmL,0.85,1.2876570252151618,0.00645217,0.00652201,0.00589457,0.00638853,0.00609982,0.00633148,0.00600371,0.00639784,0.00584424,0.00637207
SPpesmL,0.7999999999999999,1.4596329881920451,0.0176435,0.0176061,0.0178788,0.0167831,0.0169188,0.0151984,0.0155121,0.0168669,0.0170927,0.0171828
SPpesmL,0.75,1.6210701970857355,0.0169084,0.0166605,0.0164823,0.0166547,0.0170265,0.0179557,0.0177928,0.0158082,0.0166122,0.0166122
SPpesmL,0.7,1.8064652434774369,0.018597,0.0178535,0.0169297,0.0165328,0.0182596,0.0170554,0.016406,0.0165748,0.0177185,0.0176819
SPpesmL,0.6499999999999999,1.979936332694984,0.0173244,0.0184878,0.0179914,0.0185144,0.0164812,0.0183104,0.0178147,0.017489,0.018455,0.017995
SPpesmL,0.5999999999999999,2.1654716989259213,0.0182324,0.0169049,0.0176677,0.0175572,0.0175687,0.016211,0.0176457,0.017157,0.0158012,0.0173531
SPpesmL,0.5499999999999999,2.395474959232718,0.0173413,0.0163591,0.0168113,0.0168473,0.0166092,0.016218,0.0164051,0.0172237,0.0169101,0.017128
SPpesmL,0.49999999999999994,2.619189634751983,0.017689,0.0165802,0.017141,0.0184689,0.0172562,0.0165814,0.016303,0.0166131,0.016812,0.016477
SPpesmL,0.45,2.8859107625462745,0.0151496,0.0151496,0.0164143,0.0143499,0.0152215,0.0158612,0.0153303,0.0140275,0.0164139,0.0151212
SPpesmL,0.3999999999999999,3.2109266773217655,0.0141584,0.0160076,0.0148723,0.0148054,0.0153174,0.015343,0.015128,0.0132973,0.014913,0.0153893
SPpesmL,0.34999999999999987,3.56625129306526,0.0154125,0.0147123,0.0138571,0.0162213,0.0144213,0.0154253,0.0142496,0.0148734,0.0155306,0.0155306
SPpesmL,0.29999999999999993,4.015186444475875,0.0149407,0.0156697,0.0135361,0.0151449,0.0153431,0.0143165,0.0142743,0.0152116,0.0159023,0.0154315
SPpesmL,0.2499999999999999,4.594100060657255,0.0123097,0.0126438,0.0117716,0.0118894,0.0125479,0.0123877,0.0112201,0.01128,0.0117096,0.0130231
SPpesmL,0.19999999999999996,5.39746094697628,0.0114752,0.0117982,0.012212,0.0121296,0.0114393,0.0105672,0.012971,0.0132467,0.0125556,0.0137684
SPpesmL,0.1499999999999999,6.4854188556331644,0.00901327,0.0100468,0.0102944,0.00930936,0.00929946,0.00931817,0.00958378,0.0103279,0.00869821,0.00968512
SPpesmL,0.09999999999999988,8.315154874427229,0.00789588,0.00738127,0.00787715,0.00746957,0.00792608,0.00805271,0.00732898,0.00753523,0.00770228,0.00751239
SPpesmL,0.05,12.252813819603366,0.00521281,0.00498178,0.00509123,0.00483859,0.00493467,0.00492889,0.00522411,0.00480079,0.00522697,0.00531409
