SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmM,0.99,0.6081955299190326,0.00449246,0.00477934,0.00458408,0.00483006,0.00542237,0.00478074,0.00487909,0.00450219,0.00480718,0.00488976
SPpesmM,0.95,0.8568905578018762,0.00491115,0.00488049,0.00546792,0.00439691,0.0049457600000000004,0.00508423,0.00457902,0.00516512,0.00504969,0.00450359
SPpesmM,0.8999999999999999,1.056868221981019,0.00508417,0.0052371,0.00484057,0.00464497,0.00483742,0.00485297,0.0046526,0.00512738,0.00444457,0.00517078
SPpesmM,0.85,1.2222356168439936,0.00486314,0.00507789,0.00432422,0.0050712,0.00492643,0.0049808,0.00485402,0.00477256,0.00462381,0.00438486
SPpesmM,0.7999999999999999,1.3878888101627014,0.00466965,0.00501865,0.00501072,0.00508502,0.00507851,0.00446069,0.00549598,0.0047609,0.00487012,0.00463023
SPpesmM,0.75,1.5269739766996715,0.0135134,0.0127648,0.0132259,0.0123318,0.0146461,0.013289,0.0125983,0.0137549,0.0146298,0.0137475
SPpesmM,0.7,1.6908448947974408,0.0141634,0.0139686,0.0136621,0.0139469,0.0135599,0.0140612,0.0143844,0.0132919,0.0139884,0.0146466
SPpesmM,0.6499999999999999,1.8633055473789504,0.0147692,0.0139344,0.0129335,0.0136254,0.0133151,0.015149900000000001,0.0128121,0.0132979,0.013433,0.0132461
SPpesmM,0.5999999999999999,2.0476832576487176,0.0128278,0.0126207,0.0150941,0.0144127,0.0138712,0.0135333,0.0138192,0.0130835,0.0135809,0.0133611
SPpesmM,0.5499999999999999,2.2415743162371244,0.0128956,0.0124301,0.0131545,0.0134961,0.0133124,0.0133879,0.0140843,0.0124163,0.015147,0.0133089
SPpesmM,0.49999999999999994,2.458524673462203,0.0137391,0.0122447,0.0124248,0.0123227,0.0134589,0.0141077,0.0134613,0.0132536,0.0127974,0.0138061
SPpesmM,0.45,2.72090435039205,0.0132608,0.0136893,0.0141051,0.0139339,0.013806,0.0138261,0.0138177,0.0134577,0.013992,0.0143201
SPpesmM,0.3999999999999999,3.029122101272184,0.0117794,0.0119417,0.0125738,0.0112222,0.0121571,0.0114779,0.0117596,0.0121705,0.0123891,0.0125355
SPpesmM,0.34999999999999987,3.362378391078622,0.0114823,0.0110602,0.0114035,0.0119311,0.0121457,0.0113441,0.0123858,0.0113978,0.0120235,0.0122608
SPpesmM,0.29999999999999993,3.798196048038515,0.0120198,0.0109219,0.0119842,0.0125743,0.0124792,0.0121613,0.0118353,0.0122078,0.0127105,0.0111011
SPpesmM,0.2499999999999999,4.331712213800222,0.00957673,0.0091951,0.00850217,0.0103235,0.00987973,0.00955825,0.0102057,0.00975436,0.00918775,0.0100085
SPpesmM,0.19999999999999996,5.051016079174136,0.010094,0.00875147,0.00985869,0.00917588,0.00860889,0.00953495,0.00958108,0.00945679,0.0103601,0.0103224
SPpesmM,0.1499999999999999,6.093104184145329,0.00644833,0.00717472,0.00785093,0.0071686,0.00783443,0.00786618,0.0078232,0.00705652,0.00774945,0.00763313
SPpesmM,0.09999999999999988,7.803010777645674,0.00578347,0.00623196,0.00682624,0.00621123,0.00598909,0.00616767,0.00599321,0.00601156,0.00615368,0.00592877
SPpesmM,0.05,11.515520692082443,0.00423665,0.00439916,0.00407628,0.00429643,0.00443388,0.00435696,0.00424804,0.00407135,0.0042518,0.00455707
