SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmN,0.99,0.6878812050957535,0.00576794,0.00555692,0.00529002,0.00554444,0.00544548,0.00524963,0.00537486,0.00543216,0.00565774,0.00552546
SPpesmN,0.95,0.956180006327514,0.00516342,0.00568427,0.00567498,0.00556746,0.00562805,0.00544865,0.00595139,0.00588667,0.00541078,0.0060452
SPpesmN,0.8999999999999999,1.175071706859712,0.00555485,0.00561248,0.00538556,0.00580951,0.00561762,0.00556578,0.00581199,0.00568754,0.00569175,0.00508134
SPpesmN,0.85,1.3646517334099693,0.00570742,0.00563972,0.00566834,0.00576215,0.00601108,0.00537751,0.00541965,0.00574368,0.00548653,0.00555775
SPpesmN,0.7999999999999999,1.537224182209339,0.0146205,0.0156589,0.0150782,0.0158574,0.0148381,0.0144076,0.0156157,0.0144131,0.0149385,0.0165435
SPpesmN,0.75,1.7142133460863005,0.0162408,0.0151404,0.0151309,0.0151443,0.0154509,0.0149799,0.015693,0.0150857,0.0163272,0.0148069
SPpesmN,0.7,1.88975127841052,0.0150449,0.0155121,0.0153082,0.0148097,0.0148785,0.0152296,0.0160383,0.0160115,0.0160736,0.0160479
SPpesmN,0.6499999999999999,2.0948869318828316,0.0147796,0.0153024,0.0154046,0.015761,0.015611,0.0150236,0.0140304,0.0145541,0.0151297,0.0147743
SPpesmN,0.5999999999999999,2.299386117760111,0.0164058,0.0148187,0.014726,0.0165055,0.0145781,0.0162429,0.0158231,0.0155301,0.0150996,0.0146453
SPpesmN,0.5499999999999999,2.5112679617316638,0.0159435,0.014614,0.016551,0.0151698,0.0144366,0.0165304,0.0153143,0.0156051,0.0152772,0.0148814
SPpesmN,0.49999999999999994,2.7800509148972576,0.0154796,0.0148642,0.0154377,0.0152523,0.0140997,0.015117,0.0162699,0.0159035,0.0152094,0.0154787
SPpesmN,0.45,3.0542011104623925,0.0130683,0.0138346,0.0139335,0.0129026,0.013932,0.0122653,0.0127001,0.0146052,0.0139311,0.0133092
SPpesmN,0.3999999999999999,3.3809719353594554,0.0132766,0.0127337,0.0143032,0.014025900000000001,0.0129874,0.01352,0.0126544,0.0126708,0.0153751,0.0132896
SPpesmN,0.34999999999999987,3.77206114240874,0.01267,0.0125214,0.0129307,0.0128266,0.0135054,0.0127403,0.0139795,0.0133371,0.0133945,0.0130631
SPpesmN,0.29999999999999993,4.236488206123724,0.0129641,0.0128904,0.0144968,0.0133432,0.0131821,0.0158015,0.0154225,0.0131786,0.0133047,0.0141753
SPpesmN,0.2499999999999999,4.86297465618168,0.0112282,0.0100646,0.0101212,0.0105783,0.00980599,0.0113754,0.0102311,0.0117062,0.0104346,0.0103828
SPpesmN,0.19999999999999996,5.661416171778986,0.00714901,0.00884551,0.00751227,0.00757238,0.00790994,0.00688633,0.00725211,0.00863643,0.00751967,0.00839453
SPpesmN,0.1499999999999999,6.837753993161877,0.00880897,0.00766746,0.00791664,0.00755289,0.00715906,0.00817884,0.00763633,0.00845891,0.00789034,0.00767184
SPpesmN,0.09999999999999988,8.80038580625898,0.00542999,0.00530179,0.00631818,0.00491341,0.00585301,0.00520187,0.00560606,0.00571589,0.00515268,0.00556112
SPpesmN,0.05,13.428912083081036,0.00420376,0.00450319,0.00440039,0.00423084,0.0041905,0.00448455,0.00436785,0.00449674,0.00428518,0.00452088
