SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmS,0.99,0.5500413447026524,0.00293138,0.0026125,0.00278954,0.00291431,0.00299215,0.00296368,0.0025916,0.0027101,0.00283439,0.00293211
SPpesmS,0.95,0.7797183062479778,0.00262507,0.00278096,0.00282106,0.00262034,0.00276256,0.00264137,0.00280714,0.00287295,0.00273325,0.00278564
SPpesmS,0.8999999999999999,0.947809433866202,0.00287062,0.00282874,0.00273259,0.0025757,0.00278775,0.00254585,0.00289018,0.00271254,0.00260775,0.00274865
SPpesmS,0.85,1.0998575824821364,0.00273945,0.00271769,0.00262946,0.00282342,0.00299412,0.00268098,0.00270435,0.00295278,0.00283539,0.00293551
SPpesmS,0.7999999999999999,1.243500479968198,0.00266179,0.0024915,0.00260144,0.00259358,0.0028027,0.00269357,0.00291602,0.00277786,0.00304645,0.00268835
SPpesmS,0.75,1.3913703477000008,0.00295729,0.0026247,0.00286128,0.00269407,0.00261106,0.00282141,0.00257571,0.00283272,0.00277454,0.0026709
SPpesmS,0.7,1.5275548267261625,0.007023,0.00792021,0.00786057,0.00709461,0.00822382,0.00840688,0.00803566,0.0082185,0.0072535,0.00718048
SPpesmS,0.6499999999999999,1.687985640524328,0.00786511,0.00768839,0.00767889,0.00718211,0.00754088,0.00741198,0.00753308,0.00702101,0.00751655,0.00780655
SPpesmS,0.5999999999999999,1.8544572902753305,0.0074927,0.00781315,0.00720652,0.00782113,0.00752927,0.00782447,0.00739273,0.00719303,0.00780873,0.00719425
SPpesmS,0.5499999999999999,2.035917392337919,0.00741598,0.00767791,0.00720453,0.00785463,0.00728788,0.00736511,0.00703736,0.00734177,0.00703842,0.00801838
SPpesmS,0.49999999999999994,2.226814425398699,0.00733969,0.00734683,0.00729245,0.00787252,0.008182,0.0079627,0.00785372,0.00740027,0.00709412,0.00788867
SPpesmS,0.45,2.4586599321271727,0.00732619,0.00770751,0.00753291,0.0069654,0.00872604,0.00728027,0.00736747,0.00759087,0.00740112,0.00746961
SPpesmS,0.3999999999999999,2.7386354437435227,0.00760002,0.00732183,0.00775431,0.00840074,0.00747039,0.00734116,0.00699766,0.00736885,0.00805938,0.00735351
SPpesmS,0.34999999999999987,3.0348455303037367,0.00629286,0.00656312,0.00705492,0.0069214,0.00584586,0.00645775,0.00703664,0.00591824,0.00632695,0.00647953
SPpesmS,0.29999999999999993,3.4342724622268843,0.00621593,0.00626808,0.00649188,0.00689292,0.00725601,0.00621136,0.00608915,0.00682635,0.00649248,0.00633638
SPpesmS,0.2499999999999999,3.918269878343718,0.00654356,0.00694659,0.00599801,0.00669847,0.00623518,0.00691482,0.00652181,0.00596303,0.00652998,0.00676109
SPpesmS,0.19999999999999996,4.578830675189359,0.00527244,0.00489049,0.00462971,0.00554838,0.00526176,0.00491497,0.00530813,0.00554317,0.00487336,0.00537376
SPpesmS,0.1499999999999999,5.497077685560267,0.00512645,0.00514127,0.00556561,0.00433319,0.00469876,0.00540861,0.00538946,0.00495781,0.00512852,0.00447257
SPpesmS,0.09999999999999988,7.173421075279343,0.00334666,0.00351699,0.00333672,0.00350942,0.00327716,0.00323507,0.00359147,0.00334223,0.00361672,0.00335851
SPpesmS,0.05,10.571401900343496,0.00287026,0.00282687,0.00283986,0.00278679,0.00269214,0.00291849,0.00298377,0.00308696,0.00301715,0.00295067
