SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
SPpesmU,0.99,0.5447465339132448,0.00228978,0.00222144,0.00237476,0.00235462,0.00256935,0.00259196,0.0022556,0.00230737,0.00271227,0.00234796
SPpesmU,0.95,0.7783639291248362,0.00229293,0.00230576,0.00244521,0.0024153,0.00238252,0.00248126,0.00247928,0.00271432,0.00226204,0.00246982
SPpesmU,0.8999999999999999,0.9592666475932362,0.00254626,0.00246075,0.00243688,0.00240569,0.00243628,0.00238657,0.00233718,0.00216109,0.0023288,0.00243804
SPpesmU,0.85,1.1020382205663048,0.00235429,0.00238964,0.00243232,0.00223726,0.00245163,0.00233507,0.00257647,0.00229767,0.00261971,0.00245848
SPpesmU,0.7999999999999999,1.2435780591653167,0.00245697,0.00228304,0.00246485,0.0026177,0.00258108,0.00252341,0.00252481,0.00236762,0.00244759,0.00248739
SPpesmU,0.75,1.3879493801025171,0.00226384,0.00246171,0.00254735,0.00262563,0.00239537,0.00236729,0.00231711,0.0022852,0.00260278,0.0024164
SPpesmU,0.7,1.5361442123085864,0.006247,0.00692631,0.006517,0.00662583,0.00651611,0.00680363,0.00682046,0.00688852,0.00656661,0.0068994
SPpesmU,0.6499999999999999,1.696518575246187,0.00669567,0.00678226,0.0067726,0.00669801,0.00646913,0.00687479,0.00667826,0.00628322,0.00642573,0.00669185
SPpesmU,0.5999999999999999,1.858740020238076,0.00685381,0.00708459,0.00669964,0.00701129,0.00693592,0.00637887,0.0069734,0.00675999,0.00679435,0.00641958
SPpesmU,0.5499999999999999,2.029089197325175,0.00697813,0.00664747,0.00662422,0.00718531,0.00732278,0.00702881,0.00663831,0.00719154,0.00665447,0.00663836
SPpesmU,0.49999999999999994,2.233991509816923,0.00710793,0.00639755,0.00686621,0.00676154,0.00629755,0.0066135,0.00665539,0.00670467,0.00656566,0.00710486
SPpesmU,0.45,2.4776749819887645,0.00679339,0.00661533,0.00708032,0.00662704,0.00748808,0.00656238,0.00715402,0.00724962,0.00686819,0.00659095
SPpesmU,0.3999999999999999,2.74310480467047,0.00672723,0.0062425,0.00650942,0.00686442,0.00720523,0.00674393,0.00653887,0.00650653,0.00653655,0.00695881
SPpesmU,0.34999999999999987,3.043063778402018,0.00513523,0.00597269,0.00560329,0.00612223,0.00544893,0.0058461,0.00549975,0.00522026,0.00597924,0.00569832
SPpesmU,0.29999999999999993,3.425892555221018,0.00659765,0.00556627,0.00540041,0.00606906,0.00628868,0.00606397,0.00586842,0.00578391,0.00615037,0.00590709
SPpesmU,0.2499999999999999,3.922233248029613,0.00553302,0.00617513,0.00596108,0.00611426,0.00566038,0.00613465,0.00635416,0.00625981,0.00506265,0.00574238
SPpesmU,0.19999999999999996,4.5891581320330905,0.00486023,0.00479455,0.00446998,0.00476461,0.00475361,0.00396705,0.00388054,0.00470342,0.00442744,0.00470659
SPpesmU,0.1499999999999999,5.5547525238305395,0.00465136,0.00487309,0.00452502,0.00489686,0.00424176,0.00430818,0.0046891,0.00465512,0.00407333,0.00463408
SPpesmU,0.09999999999999988,7.164919977220801,0.00327853,0.00332163,0.0032178,0.00328774,0.003166,0.00329087,0.0032958,0.00309629,0.00366841,0.00315194
SPpesmU,0.05,10.696078960400076,0.00258655,0.00288483,0.00275302,0.00263957,0.00260439,0.00256541,0.00277963,0.00267848,0.00266838,0.00270597
